99;Hartleben, Otto Erich: Hanna Jagert (1893)
98;Thoma, Ludwig: Erster Klasse (1910)
97;Scheerbart, Paul: Die Wurzeln der Wohlhabenheit (1904)
96;Schiller, Friedrich: Kabale und Liebe (1784)
95;Sonnleithner, Joseph Ferdinand von: Fidelio (1805)
94;Lortzing, Albert (Gustav): Zar und Zimmermann (1837)
93;Kaiser, Friedrich: Die Schule des Armen oder Zwei Millionen (1847)
92;Birch-Pfeiffer, Charlotte: Vatersorgen (1850)
91;Uhland, Ludwig: Ernst Herzog von Schwaben (1818)
90;Beer, Michael: Struensee (1828)
9;Gotter, Friedrich Wilhelm: Der Dorfjahrmarkt (1775)
89;Schnitzler, Arthur: Anatol (1891)
88;Lessing, Gotthold Ephraim: Emilia Galotti (1772)
87;Lessing, Gotthold Ephraim: Miß Sara Sampson (1755)
86;Schiller, Friedrich: Die Piccolomini (1799)
85;Büchner, Georg: Dantons Tod (1834)
84;Panizza, Oskar: Das Liebeskonzil (1895)
83;Nestroy, Johann: Der Talisman (1843)
82;Goethe, Johann Wolfgang von: Torquato Tasso (1788)
81;Rosenow, Emil: Kater Lampe (1902)
80;Schnitzler, Arthur: Liebelei (1895)
8;Schiller, Friedrich: Die Räuber (1780)
79;Hofmannsthal, Hugo von: Der Tor und der Tod (1898)
78;Kleist, Heinrich von: Die Hermannsschlacht (1808)
77;Droste-Hülshoff, Annette von: Perdu! oder Dichter, Verleger und Blaustrümpfe (1840)
76;Raimund, Ferdinand: Der Diamant des Geisterkönigs (1824)
75;Ball, Hugo: Die Nase des Michelangelo (1911)
74;Platen, August von: Die verhängnisvolle Gabel (1826)
73;Thoma, Ludwig: Magdalena (1912)
72;Schink, Johann Friedrich: Der neue Doktor Faust (1782)
71;Wedekind, Frank: Tod und Teufel (1906)
70;Klabund: Der Kreidekreis (1925)
7;Mylius, Christlob: Die Schäferinsel (1749)
69;Laufs, Carl: Pension Schöller (1898)
68;Cronegk, Johann Friedrich von: Der Mißtrauische (1766)
67;Lachmann, Hedwig: Salome (1905)
66;Sturz, Helfrich Peter: Julie (1767)
65;Bleibtreu, Karl: Weltgericht (1902)
64;Vischer, Friedrich Theodor: Faust (1862)
63;Laube, Heinrich: Gottsched und Gellert (1845)
62;Nestroy, Johann: Der böse Geist Lumpazivagabundus oder Das liederliche Kleeblatt (1833)
61;Gotter, Friedrich Wilhelm: Die Geisterinsel (1798)
60;Hauptmann, Carl: Frau Nadja Bielew (1909)
6;Gutzkow, Karl: Richard Savage oder Der Sohn einer Mutter (1839)
59;Hauptmann, Carl: Die armseligen Besenbinder (1913)
58;Schiller, Friedrich: Wallensteins Tod (1799)
57;Kotzebue, August von: Die Indianer in England (1789)
56;Thoma, Ludwig: Moral (1908)
55;Devrient, Philipp Eduard: Hans Heiling (1833)
54;Anzengruber, Ludwig: Der Meineidbauer (1871)
53;Klinger, Friedrich Maximilian: Sturm und Drang (1777)
52;Ertler, Bruno: Das Spiel von Doktor Faust (1923)
51;Holz, Arno: Sozialaristokraten (1896)
50;Leisewitz, Johann Anton: Julius von Tarent (1776)
5;Hafner, Philipp: Der Furchtsame (1764)
49;Kleist, Heinrich von: Die Familie Schroffenstein (1804)
48;Brandes, Johann Christian: Ariadne auf Naxos (1775)
47;Heyse, Paul: Colberg (1865)
466;Horváth, Ödön von: Geschichten aus dem Wiener Wald ()
465;Immermann, Karl: Das Gericht von St. Petersburg (1835)
464;Weißenthurn, Johanna von: Welcher ist der Bräutigam? (1821)
463;Immermann, Karl: Die Bojaren (1835)
462;Gottsched, Luise Adelgunde Victorie: Die Pietisterey im Fischbein-Rocke (1736)
461;Sudermann, Hermann: Der Bettler von Syrakus (1911)
460;Wilbrandt, Adolf von: Gracchus der Volkstribun (1872)
46;Essig, Hermann: Überteufel (1906)
459;Dulk, Albert: Die Wände (1848)
458;Goethe, Johann Wolfgang von: Des Epimenides Erwachen (1815)
457;Moser, Gustav von: Das Stiftungsfest (1862)
456;Weißenthurn, Johanna von: Johann, Herzog von Finnland (1811)
455;Beer, Michael: Der Paria (1823)
454;Mosenthal, Salomon Hermann von: Das goldene Kreuz (1875)
453;Laube, Heinrich: Die Karlsschüler (1846)
452;Schiller, Friedrich: Wilhelm Tell (1804)
451;Schiller, Friedrich: Die Verschwörung des Fiesco zu Genua (1782)
450;Soden, Julius von: Doktor Faust (1797)
45;Gutzkow, Karl: Zopf und Schwert (1844)
449;Bodmer, Johann Jacob: Odoardo Galotti, Vater der Emilia (1776)
448;Hauptmann, Carl: Musik (1918)
447;Leisewitz, Johann Anton: Der Besuch um Mitternacht (1774)
446;Heine, Heinrich: William Ratcliff (1823)
445;Wieland, Christoph Martin: Lady Johanna Gray oder Der Triumf der Religion (1758)
444;Grillparzer, Franz: Die Ahnfrau (1817)
443;Klinger, Friedrich Maximilian: Simsone Grisaldo (1776)
442;Goethe, Johann Wolfgang von: Egmont (1791)
441;Nestroy, Johann: Judith und Holofernes (1849)
440;Günderode, Karoline von: Magie und Schicksal (1805)
44;Malß, Karl: Jungfern Köchinnen (1835)
439;Wildenbruch, Ernst von: Die Karolinger (1881)
438;Kupelwieser, Josef: Fierrabras (1897)
437;Kleist, Heinrich von: Amphitryon (1806)
436;Wedekind, Frank: Die Büchse der Pandora (1904)
435;Müller, Friedrich (Maler Müller): Golo und Genovefa (1775)
434;Iffland, August Wilhelm: Figaro in Deutschland (1790)
433;Chézy, Helmina von: Euryanthe (1823)
432;Lautensack, Heinrich: Hahnenkampf (1908)
431;Raupach, Ernst: Kritik und Antikritik (1825)
430;Ludwig, Otto: Die Makkabäer (1854)
43;Hebbel, Friedrich: Agnes Bernauer (1852)
429;Scheerbart, Paul: Die Welt geht unter! (1904)
428;Wildgans, Anton: Dies irae (1919)
427;Raimund, Ferdinand: Moisasurs Zauberfluch (1827)
426;Wagner, Heinrich Leopold: Voltaire am Abend seiner Apotheose (1778)
425;Wedekind, Frank: Der Marquis von Keith (1901)
424;Scheerbart, Paul: Der fanatische Bürgermeister (1904)
423;Lenz, Jakob Michael Reinhold: Der Engländer (1776)
422;Wagner, Richard: Die Meistersinger von Nürnberg (1868)
421;Scheerbart, Paul: Die lustigen Räuber (NaN)
420;Ertler, Bruno: Anna Iwanowna (1920)
42;Gutzkow, Karl: Uriel Acosta (1846)
419;Boßdorf, Hermann: De rode Ünnerrock (1923)
418;Sorge, Reinhard Johannes: Odysseus (1912)
417;Schlegel, Johann Elias: Canut (1746)
416;Raimund, Ferdinand: Die gefesselte Phantasie (1828)
415;Wagner, Richard: Tannhäuser und Der Sängerkrieg auf Wartburg (1845)
414;Widmann, Joseph Viktor: Maikäfer-Komödie (1896)
413;Wagner, Richard: Parsifal (1882)
412;Werner, Zacharias: Der vierundzwanzigste Februar (1809)
411;Birch-Pfeiffer, Charlotte: Johannes Gutenberg (1835)
410;Scheerbart, Paul: Der Regierungswechsel (1897)
41;Alberti, Konrad: Im Suff (1890)
409;Goethe, Johann Wolfgang von: Götter, Helden und Wieland (1774)
408;Brentano, Clemens: Ponce de Leon (1801)
407;Arnim, Ludwig Achim von: Das Loch oder Das Wiedergefundene Paradies (1811)
406;Hauptmann, Carl: Gaukler, Tod und Juwelier (1920)
