wer	acts	words	chars
Martin	1	1	11
RESI	6	142	727
LEOPOLD	141	2688	14393
LOIDL	21	317	1643
PICCOLO	16	121	625
KRACHER	6	48	258
JOSEPHA	189	3294	17390
FRANZ	17	147	777
MIRZL	10	74	364
KAPITÄN	1	3	31
BOOTSMANN	3	30	178
ERSTER PORTIER	2	10	34
ZWEITER PORTIER	2	12	36
DRITTER PORTIER	2	11	38
EINE DAME	1	5	22
BÄUERIN	1	7	45
SEPP	9	85	475
BAUERNJUNGE	1	7	45
VIERTER PORTIER	1	6	18
REISENDER	5	53	282
HOCHTOURIST	10	187	999
DR Bernbach	6	52	266
EMMY	5	40	198
MELANIE SCHMIDT	3	44	267
RÄTIN SCHMIDT	2	16	72
GIESECKE	286	4905	26726
CHARLOTTE	21	184	1035
OTTILIE	74	807	4261
SIEDLER	185	3343	18694
MALI	4	44	234
KATHI	8	101	562
PORTIER	1	6	39
SÜLZHEIMER	129	2079	11358
HINZELMANN	55	1413	7764
KLÄRCHEN	55	487	2622
Joseph	1	1	11
