wer	acts	words	chars
ALLGEMEINER SCHLUßCHOR	1	39	219
WERNER	66	1702	9015
CONRADIN	52	1143	6098
HAUSHOFMEISTER	6	222	1260
DIE STUDENTEN	16	477	2674
DIE LANDSKNECHTE	10	341	1899
RECTOR MAGNIFICUS	4	110	644
CHOR	7	216	1195
EINIGE ÄLTERE MÄNNER	1	21	110
CHOR DER JUNGEN SÄKKINGER	1	46	249
EINIGE JUNGE MÄDCHEN	3	45	235
CHOR DER HAUENSTEINER BAUERN	12	225	1221
DIE SCHIFFSLEUTE	1	4	24
MARIA	50	1073	5526
GRÄFIN	50	981	5104
FREIHERR	48	1483	7819
FREIHERRIN	1	9	56
VIER HEROLDE	1	50	262
GRAF VON WILDENSTEIN	12	168	883
DAMIAN	16	188	1057
CHOR DER BÜRGER UND BÜRGERINNEN	1	26	128
