wer	acts	words	chars
DIE FLÜCHTIGEN	2	24	126
BIÖRN	13	219	1249
SOLDAT	8	40	229
BERDOA	329	8062	43171
VIELE STIMMEN	2	13	69
USBEK	58	675	3839
EIN FINNE	11	126	669
IRNAK	67	1059	5629
DIE FINNEN	12	61	331
ROSSAN	43	527	2690
HOLM	46	635	3379
ERIK	53	784	4199
GOTHLAND	510	16338	86601
ROLF	82	1539	8406
CÄCILIA	49	1664	8593
ARBOGA	67	784	4029
KANZLER	57	825	4441
KÖNIG	88	1540	8369
SKIOLD	60	746	3957
DIE ÜBRIGEN SCHWEDISCHEN GROßEN	1	3	15
DER HAUPTMANN	8	146	752
GUSTAV	93	1429	7349
VOLK AUF DER STRASSE	1	9	52
DER ALTE HERZOG VON GOTHLAND	74	1985	10339
VERWUNDETE FINNEN	1	5	26
FLÜCHTIGE	1	4	20
EIN FINNISCHER HAUPTMANN	1	27	157
EINZELNE STIMMEN	1	6	21
STIMMEN VON DEM MEERE HER	8	95	507
EINER DER SCHIFFBRÜCHIGEN	1	8	42
HEROLD	1	105	523
DIE ANWESENDEN KRIEGER	1	4	26
CHOR	1	6	30
EINE DIRNE	1	9	46
ANDRE	1	14	65
MEHRERE STIMMEN	3	94	551
EINE STIMME	4	95	540
EINE ANDRE STIMME	3	84	478
DIE FINNISCHEN HAUPTLEUTE	18	163	895
UNTEROFFIZIER	2	34	209
TOCKE	15	205	1032
EIN SCHWEDISCHER HAUPTMANN	3	21	110
EIN SCHWEDISCHER SOLDAT	2	33	204
EINER DER FINNISCHEN HAUPTLEUTE	1	40	205
ERSTER HAUPTMANN	3	52	327
ZWEITER HAUPTMANN	3	278	1563
