wer	acts	words	chars
DER HEROLD	1	60	350
GRAF OTTO	44	870	4941
THEOBALD FRIEDEBORN	53	3131	17697
WENZEL	25	182	931
HANS	17	87	478
DER GRAF VOM STRAHL	345	6743	36019
KÄTHCHEN	234	2370	12663
ERSTER RICHTER	2	14	65
ZWEITER RICHTER	2	13	59
EIN RICHTER	2	13	63
DIE RICHTER	1	0	0
GOTTSCHALK	60	759	3909
RITTER FLAMMBERG	43	612	3497
BURGGRAF VON FREIBURG	52	1051	5750
EINE STIMME	2	9	37
GEORG	21	243	1299
EINE ANDERE STIMME	1	10	44
DER ERSTE KÖHLER	7	62	311
DER ZWEITE KÖHLER	7	106	567
SCHAUERMANN	6	23	139
WETZLAF	3	19	98
KÖHLERJUNGE	7	169	859
KUNIGUNDE	123	1799	9795
ROSALIE	45	565	2913
BRIGITTE	12	850	4528
DER BEDIENTE	1	10	52
GRÄFIN	14	244	1286
GOTTFRIED	9	185	1027
PFÖRTNER	1	4	26
RHEINGRAF	25	593	3317
JAKOB PECH	7	51	314
FRIEDRICH HERRNSTADT	10	58	343
EGINHARDT VON DER WART	10	241	1358
DIE BOTEN	1	1	4
STIMME	7	43	237
EIN NACHTWÄCHTER	1	91	503
RITTER VON THURNECK	7	57	337
ERSTE TANTE	7	35	174
ZWEITE TANTE	7	34	177
ERSTER KNECHT	9	60	319
EIN ANDERER KNECHT	8	45	243
DIE KNECHTE	4	27	141
DER CHERUB	1	0	0
VOLK	3	12	76
KNECHTE DES RHEINGRAFEN	2	17	84
ELEONORE	22	282	1473
DER KAISER	15	695	3814
ERZBISCHOF	2	100	546
EIN RITTER	1	3	17
DIENER	1	15	88
