wer	acts	words	chars
DIE ERSCHEINUNG	45	304	1909
MARIANNE	766	10383	66707
ONKEL LUDWIG	864	12322	79066
GEORG	952	20859	133443
DUFROY	885	16588	107534
UEXKÜLL	335	5401	34434
STIMME	4	19	114
