wer	acts	words	chars
DAS GEFOLG	2	9	36
BRASIDAS	45	434	2399
ALITTA	34	836	4630
HANNA	1	1	7
AUSRUFER VON MEHREREN SEITEN	1	15	97
MARKTWEIBER	3	19	112
EIN MARKTJUNGE	1	6	57
EIN MARKTWEIB	4	37	165
EIN ANDERES MARKTWEIB	1	25	122
EIN KARTHAGER	4	19	103
EIN KAUFHERR	3	12	71
ERSTER SKLAVENHÄNDLER	2	17	105
ERSTER ZIERBENGEL	6	54	305
ZWEITER ZIERBENGEL	4	19	98
ZWEITER SKLAVENHÄNDLER	4	119	694
EIN VORÜBERGEHENDER	1	7	40
EIN ALTER MANN	1	6	27
EIN BOTE	2	7	45
DIE MENGE (1)	1	61	323
DER FÜHRENDE SCHEICH	5	79	468
ZOLLBEDIENTE	3	25	136
EIN ZOLLBEDIENTER	1	3	10
MELKIR	36	666	3689
HANNO	38	538	3008
GISGON	57	1520	8402
ERSTER KONSUL	4	151	840
PRÄTOR	3	41	216
ZWEITER KONSUL	11	186	1077
EIN SENATOR	1	21	122
KATO ZENSOR	11	247	1429
TRIBUNEN	1	8	45
EIN KURULISCHER ÄDIL	2	16	90
DER SENAT	4	22	106
SCIPIO DER JÜNGERE	39	633	3588
SCIPIO DER ÄLTERE	16	235	1328
EIN LIKTOR	2	22	119
HANNIBAL	136	3649	20213
EIN NEGERHÄUPTLING	4	125	677
BOTE	11	187	969
TURNU	48	1224	6615
TERENZ	13	342	1996
EIN GEFANGENER	1	11	63
DAS WEIB	3	42	217
EIN KNABE	1	25	130
EIN SOLDAT	1	3	21
DER KELTIBERIERFÜRST ALLOCHLIN	10	185	1012
ALLOCHLINS BEGLEITER	1	8	44
DIE BRAUT	2	33	178
KELTIBERIER	9	181	988
DAS HEER	1	11	52
ERSTER BÜRGER	7	102	595
ZWEITER BÜRGER	3	12	73
DRITTER BÜRGER	2	6	47
DER FRÜHERE DESPOT DER STADT	10	232	1364
FABIUS MAXIMUS	9	318	1795
REITERFELDHERR	7	93	488
EIN FLAMEN	1	11	66
EIN GREIS	5	46	228
DIE JÜNGLINGE	2	11	65
DIE MÄDCHEN	5	50	300
EIN ATELLAN	4	31	164
HERANSPRENGENDE REITER	1	13	80
EIN NUMIDIER	1	18	95
DAS MÄDCHEN	1	7	43
DIE MENGE (3)	3	27	148
DER JUNGE PUNIER	1	14	71
EIN ALS KARTHAGISCHER KRIEGER VERKLEIDETER RÖMER	1	4	19
DER RÖMER	2	13	65
ERSTER SKLAV	8	132	748
DIE SKLAVEN	7	30	167
ZWEITER SKLAV	5	42	237
DIE BALEARISCHEN SCHLEUDERER	1	1	6
EIN VORNEHMER KAPUANER	2	6	58
STIMMEN DER KOMMANDIERENDEN FLOTTENOFFIZIERE	1	69	355
SOLDAT	2	29	154
ERSTER GESANDTER	16	162	962
MATROSEN	1	3	25
EIN VERTRAUTER DIENER MELKIRS	1	7	52
DER HAUPTMANN HANNIBALS	5	153	827
MARKTJUNGE	2	16	99
VOLK	5	20	142
EIN MANN	1	16	80
EIN ANDERER MANN	1	17	89
HEROLD	4	164	955
DIE MENGE (4)	1	12	73
MARKTWEIB (4)	2	35	186
EIN SKLAV (4)	1	13	95
BARKAS	15	305	1680
EIN VELIT	1	5	45
ERSTER KARTHAGISCHER ABGEODNETER	2	58	347
PFÖRTNER	24	439	2442
KNABE	20	276	1422
EIN WEIB	1	59	311
EIN PRIESTER	2	7	45
EIN ZWEITER PRIESTER	1	20	105
EIN KRIEGER	1	4	20
EIN SKLAV (5)	2	43	238
HAUSMEISTER	2	34	230
ZWEITER RÖMISCHER GESANDTER	7	78	481
PRUSIAS	30	836	4760
HÖFLING	6	60	330
PROTOVESTIAR	3	25	137
DER LEIBPAGE	1	1	5
MALER	1	11	54
BARRAS	1	3	14
FLAMININUS	6	71	418
