wer	acts	words	chars
PRIESTER	10	110	2503
ERSTER ENGEL	38	283	1424
ZWEITER ENGEL	34	249	1517
DRITTER ENGEL	40	397	1997
ZWEI ÄLTERE ENGEL	2	35	181
GOTT VATER	55	935	5254
CHERUBIM	29	259	1509
EIN ENGEL	9	21	135
ALLE ENGEL	5	55	248
BOTE	1	227	1391
DIE VORAUSEILENDEN ENGEL	1	4	19
MARIA	64	1159	6378
CHRISTUS	22	368	2005
MARIA MAGDALENA	2	12	55
CHOR DER MÄRTYRER	2	8	37
CHOR DER ÄLTEREN ENGEL	1	4	26
CHOR DER APOSTEL	3	12	61
DIE JÜNGEREN ENGEL	2	10	41
DON GIOFFRE	7	83	544
DER PAPST	20	444	2855
DONNA SANCIA	2	19	116
LUCREZIA	8	53	281
DON GIOVANNI	3	35	196
FRANCESCO BORGIA	3	24	130
CESARE	2	4	14
ERSTER EDELMANN	4	35	203
ZWEITER EDELMANN	4	17	97
DRITTER EDELMANN	7	141	831
BURCARD	2	24	137
CHOR	1	52	525
EINES DER MÄDCHEN	1	6	198
DIE KURTISANE	1	23	128
RODRIGO BORGIA	1	22	128
DIE MÄDCHEN	1	6	29
TEUFEL	60	4900	27247
LESENDER ENGEL	4	368	2119
