wer	acts	words	chars
CHOR DER FRAUEN	2	96	513
DIE MUSE	2	367	2014
EPIMENIDES	10	1065	5946
GENIEN	7	287	1526
HEERESZUG	2	133	666
DÄMON DES KRIEGS	4	373	1999
DÄMONEN DER LIST	2	59	314
PFAFFE	4	57	318
JURIST	3	55	289
DIPLOMAT	5	113	602
DAME	3	58	300
HOFMANN	3	68	377
LUSTIGE PERSON	1	70	383
CHOR	8	487	2554
DÄMON DER UNTERDRÜCKUNG	14	882	4953
DÄMON DER LIST	4	193	992
LIEBE	15	411	2150
GLAUBE	12	357	2026
HOFFNUNG	6	445	2408
GENIUS I	8	298	1589
GENIUS II	8	298	1596
UNSICHTBARES CHOR	3	142	749
JUGENDFÜRST	3	129	653
LANDBEWOHNER	1	44	233
SÄMTLICHE CHÖRE	1	78	399
PRIESTER	2	64	370
DIE EINIGKEIT	1	57	305
CHOR DER KRIEGER	2	112	588
