wer	acts	words	chars
HYMEN	1	2	9
ZENOBIUS	10	132	757
BUSTORIUS	33	357	1981
BORAX	10	44	239
ANTIMONIA	15	138	826
LAKRIMOSA	18	1186	6788
AJAXERLE	48	1360	7401
EIN FEENDIENER	12	30	182
FIAKER	1	4	14
EIN KLEINER GENIUS	2	6	37
STIMME VON UNTEN	1	9	51
LORENZ	47	1049	5638
HABAKUK	7	47	234
LOTTCHEN	69	1404	7414
WURZEL	126	4186	22462
KARL	47	770	4194
SATYR	1	1	6
SCHLOSSER	3	62	336
TISCHLER	2	7	41
ILLI	1	151	881
ZUFRIEDENHEIT	76	1529	8260
SCHMEICHELFELD	4	64	356
MUSENSOHN	9	171	920
AFTERLING	5	143	730
CHOR	11	162	784
ALLE BEDIENTEN	1	3	13
JUGEND	21	514	2772
DAS ALTER	14	550	3059
NEID	9	225	1264
HASS	26	929	5250
TOPHAN	10	255	1386
NIGOWITZ	8	184	1036
PAPAGEI	1	8	40
AMOR	3	42	227
LÄRMEN	1	7	33
