wer	acts	words	chars
DIE MÄNNER	4	39	214
CHOR	13	269	1630
ALTBERG	4	58	290
WILDGANS	9	126	634
STORCH	34	1115	6153
LISETTE	16	176	962
MARTHE	8	108	570
SCHWARZ	19	497	2786
JOHANN	7	197	1085
NETTCHEN	5	126	682
TOBISCHKA	19	350	1989
GUSTCHEN	18	501	2657
MEHLTHAU	11	461	2511
SPERLING	5	241	1378
ERSTER BANDLKRAMER	8	170	938
ZWEITER BANDLKRAMER	5	113	627
DIE HAUSIERERIN	2	129	741
BÄRBEL	13	530	2815
HÄNSLE	1	18	99
JOCKERLE	1	18	99
ADAM	39	920	5038
SIMON	31	801	4274
SEIB	4	91	502
HAUSKNECHT	5	123	650
GRUNDWÄCHTER	8	108	596
BUB	1	15	73
STERN	31	810	4613
HANS	10	227	1314
TURBARIUS	17	266	1535
GRETCHEN	18	668	3466
PHILIPP	12	136	758
KALB	25	389	2212
RICHTER	9	201	1089
GESCHWORNER	4	52	313
DIE GESCHWORNEN	1	6	46
LANGE	14	268	1450
HERFORT	4	47	237
JEANETTE	11	299	1585
HARMONIKUS	15	428	2581
MALCHEN	7	65	354
BERNHARD	6	59	316
ROBERT	10	207	1153
SABINE	16	593	3296
THERESE	7	50	254
CHRISTOPH	11	252	1396
SUSANNE	12	498	3012
MATHIAS	13	804	4484
KORPORAL	2	23	140
DIE WEIBER	4	41	228
