wer	acts	words	chars
EMERBERG	6	32	180
ELISABETH	24	349	1821
MERENBERG	38	686	3616
SEYFRIED	42	734	3765
BENESCH	35	514	2585
MILOTA	51	637	3336
BERTHA	10	154	785
ZAWISCH	95	1807	9198
MARGARETHE	29	1550	8328
RUDOLF	79	3002	15951
DER KANZLER	65	1241	6511
OTTOKAR	274	7966	41847
BÜRGERMEISTER	18	214	1107
FÜLLENSTEIN	41	634	3358
DIENER	27	250	1313
HEINRICH VON LICHTENSTEIN	7	115	645
MARGARETE	1	6	39
DER WORTFÜHRER DER STEIRER	1	2	15
WORTFÜHRER DER KÄRNTNER	2	26	142
VON AUSSEN	3	14	75
DIE IM SAALE	1	6	41
BELA	3	33	182
ERSTER ABGESANDTER	3	132	689
RUDOLF VON HABSBURG	2	30	157
ZWEITER ABGESANDTER	7	200	1077
KUNIGUNDE	32	1105	5706
ZURUF VON ALLEN SEITEN	1	18	93
FRÄULEIN	27	354	1777
KÖNIGIN	29	681	3523
BURGGRAF	9	339	1885
GEMURMEL	1	2	17
FRAU	6	46	235
AUSSEN	1	5	24
ORTOLF	2	14	72
KNECHT	9	96	491
HAUPTMANN	3	26	126
ERSTER BÜRGER	3	40	234
ZWEITER BÜRGER	2	19	92
SCHWEIZERSOLDAT	2	24	130
EINE FRAU	1	8	50
SCHWEIZER	4	116	566
OTTOKAR VON HORNEK	2	302	1621
PALTRAM	1	98	518
PETTAUER	1	12	61
DIE BÖHMEN	1	4	16
KNAPPE	1	9	46
BÜRGER	5	22	105
HEROLD	20	295	1615
BOTE	4	44	218
KÜSTER	4	20	94
EIN RITTER	1	13	65
ES STÜRZT EINER HEREIN	1	4	16
