wer	acts	words	chars
ZWEITES HALBCHOR	5	59	358
REIGEN	72	2112	11713
SIGURD	294	9054	48521
HIORDISA	30	976	5524
GREIS	6	152	846
FAFFNER	2	169	943
EINE SCHWALBE	2	41	239
DIE ANDERE SCHWALBE	2	44	242
WURDUR	6	364	2115
WERDANDI	7	335	1932
SKULD	6	335	1958
BRYNHILDIS	104	4010	22317
GRIMHILDIS	117	2507	13646
ZOFE	14	236	1277
GUNNAR	250	4448	24045
HÖGNE	180	3253	17723
ALSWIN	13	269	1469
GIUKE	30	800	4247
EIN BOTE	10	240	1307
EIN DIENER	5	46	245
GUDRUNA	276	8032	43441
WÄCHTER (1. THEIL)	1	41	234
GUTTORM	24	701	3789
EINE ZOFE	2	14	66
STIMMEN	1	41	205
DIETEREICH	19	422	2326
KNECHT	16	455	2441
WINGO	29	555	3014
ATLE	116	2469	13148
HERKE	20	209	1150
BLÖDEL	13	280	1488
PRIESTER	2	180	1055
DAS VOLK (2. TEIL)	2	17	83
EINER DER DIENER	5	57	275
DER ANDRE DIENER	5	143	764
KOSTBERA	30	541	3058
GLAMWOR	24	318	1761
NIFLUNG	65	1426	7645
ORTLIEB	31	362	1897
ASMUND	25	292	1509
HOFMEISTER	8	72	405
EINE JUNGFRAU (2. THEIL)	6	64	352
EIN KRIEGER (2. THEIL)	28	417	2256
EIN ANDRER KRIEGER (2. THEIL)	5	41	233
EIN DRITTER KRIEGER (2. THEIL)	3	48	274
REIDBOLD	37	519	2730
DIE KRIEGER	1	24	140
EIN GOLDSCHMIDT	8	144	758
EINE ZOFE GUDRUNENS	1	8	41
SCHWIMMER	2	62	346
DIETEREICHS KNECHT	1	39	210
HEIMER	36	835	4477
GRIMA	131	2682	14231
AKE	71	1220	6534
ASLAUGA	109	3621	19857
RAGNAR	91	2704	14665
EIN KRIEGSMANN	14	276	1473
EIN ANDERER KRIEGSMANN	6	68	350
EIN DRITTER KRIEGSMANN	2	16	88
ROLF	31	618	3261
KNUD	28	641	3510
HARALD	30	598	3272
EIN SCHIFFSBÄCKER	14	363	1940
ANDRE SCHIFFSBÄCKER	3	20	95
DIE SCHIFFSBÄCKER	1	5	21
KRIEGSLEUTE	2	46	221
SKALDE	5	114	645
WÄCHTER (3. THEIL)	3	141	761
KÜCHENMEISTER	2	78	422
EIN DIENER (3. THEIL, 1)	2	25	141
EIN ANDERER DIENER (3. THEIL, 1)	1	18	87
VOLK (3. TEIL)	2	56	258
EINER AUS DEM VOLKE	5	155	774
EIN ANDRER AUS DEM VOLK	2	28	151
EIN DRITTER AUS DEM VOLK	1	0	0
EINIGE KRIEGSLEUTE	1	6	30
ERSTE JUNGFRAU (3. THEIL)	10	147	815
EINE ANDRE JUNGFRAU	7	94	468
EINE DRITTE JUNGFRAU	8	168	855
EYSTEIN	12	293	1543
ALTER FISCHER	8	131	660
JUNGER FISCHER	8	76	401
ERSTER VOGEL	4	24	135
ZWEITER VOGEL	4	24	137
RANGAR	1	13	79
ERSTES HALBCHOR	5	80	431
