wer	acts	words	chars
CHOR DER FRAUEN	3	79	485
CHOR	30	426	2410
HOHEPRIESTER	21	339	1906
SULAMITH	29	453	2499
ASSAD	52	1421	7742
SALOMON	44	762	4170
KÖNIGIN	49	1296	6982
ASTAROTH	13	165	893
TEMPELWÄCHTER	1	8	47
CHOR DER SÄNGER	1	6	30
CHOR DES VOLKES	1	6	30
CHOR DER MÄDCHEN	4	65	334
PRIESTER	9	54	307
LEVITEN	8	48	277
EINZELNE STIMMEN AUS DEM VOLKE	1	10	64
