wer	acts	words	chars
ALLE MÄNNER	3	17	94
DER BÜRGERMEISTER	255	3888	22486
EIN RAT	52	474	2702
RAT KLEMENS	154	1758	9913
ROLAND	324	4152	22086
DIE RATSHERREN	51	467	2666
FEMINA	171	2352	12783
GESCHREI	1	17	98
MARIE	191	2565	13477
STIMME	6	48	266
HELLEBARDIER	10	69	340
FRAU KÜNKELÜN	431	7266	39790
WEIB	13	484	2603
DER HAUFEN	8	82	388
EIN WEIB (3)	3	41	220
WEIBER	1	4	21
FRAU KLEMENS	5	31	174
DIE ANGEFLOGENEN	1	7	31
ERSTE FRAU	23	359	1896
ZWEITE FRAU	16	143	747
EIN WEIB (5)	44	326	1720
ANDERES WEIB	35	279	1470
DRITTES WEIB	35	252	1282
VIERTES WEIB	35	261	1349
NEUES WEIB	31	321	1641
FRANZOSE	14	198	1085
DIE FRANZOSEN	5	19	111
MELAK	17	177	871
