wer	acts	words	chars
DIE ÄLTESTEN	3	19	112
HOLOFERNES	113	4757	25854
OBERPRIESTER	3	30	172
TRABANT	4	31	185
EIN KRIEGER	4	76	401
HAUPTMANN	18	473	2520
BOTE	7	126	737
PRIESTER	12	118	605
GESANDTE	3	27	140
MESOPOTAMISCHE GESANDTE	6	178	1010
ACHIOR	17	1021	5372
JUDITH	163	8110	43476
MIRZA	72	1063	5721
EPHRAIM	26	942	4872
EIN BÜRGER	2	20	109
AMMON	8	123	670
HOSEA	5	146	833
BEN	4	62	325
DER EINE BÜRGER	3	50	267
DER ANDERE BÜRGER	3	86	455
SAMUEL	8	418	2243
ENKEL	7	111	573
ERSTER BÜRGER 3. AKT	3	59	334
ZWEITER BÜRGER 3. AKT	2	98	546
DER ÄLTESTE	14	430	2240
ASSAD	7	209	1183
EIN ANDERER	1	8	37
DANIEL	8	161	899
VOLK	19	123	647
SAMAJA	7	633	3377
JOSUA	8	354	1881
EINER IM VOLK	2	11	48
EIN ANDERER IM VOLK	2	74	367
EIN DRITTER IM VOLK	1	54	291
DELIA	4	285	1460
EINER DER ÄLTESTEN	3	22	118
EINER DER HAUPTLEUTE	8	134	719
DER ZWEITE DER HAUPTLEUTE	4	51	293
DIE HAUPTLEUTE	1	7	32
KÄMMERER	7	176	968
EIN WEIB	1	26	138
WEIBER	1	7	38
EINE MUTTER	5	275	1448
ERSTER PRIESTER	9	228	1217
ZWEITER PRIESTER	5	34	189
EIN ANDERES WEIB	2	16	82
ERSTER BÜRGER 5. AKT	4	31	178
ZWEITER BÜRGER 5. AKT	5	304	1605
DRITER BÜRGER 5. AKT	1	14	91
WACHEN	3	48	263
