wer	acts	words	chars
ATZWANGER	6	32	170
SCHÖN	45	1351	6905
ANNA	48	854	4316
HUTTERER	62	1618	8551
SIDONIE	26	303	1645
FREY	57	998	5500
HEDWIG	82	2756	14505
EDUARD	27	470	2648
BARBARA	78	1143	5779
JOHANN	36	371	1888
MICHEL	10	114	588
JOSEPHA	42	799	4047
STOLZENTHALER	58	1516	7851
SCHALANTER	76	2092	10828
MARTIN	67	1614	8186
BELLER	10	19	90
HÖLLER	4	116	595
STÖTZL	5	35	190
KATSCHER	5	44	224
RESI	3	19	96
BERGER	7	47	265
MINNA	1	9	47
STILLE	5	15	80
MOSTINGER	8	188	958
SEDLBERGER	4	23	120
TOMERL	2	42	221
KRAFT	10	115	586
WERNER	2	29	152
SEEBURGER	2	6	36
STÖBER	1	12	74
