wer	acts	words	chars
CHOR VON PRIESTERN	1	34	177
TAMINO	108	1622	8489
ERSTE DAME	46	743	3986
ZWEYTE DAME	41	624	3336
DRITTE DAME	39	705	3750
PAPAGENO	171	3530	17939
KÖNIGINN	11	511	2808
DRITTER SCLAV	12	264	1449
ERSTER SCLAV	13	170	888
ZWEYTER SCLAV	9	112	607
MONOSTATOS	28	815	4258
PAMINA	92	1461	7521
STIMME	2	4	14
PRIESTER	16	178	947
EINIGE STIMMEN	2	8	42
SARASTRO	28	896	4898
ERSTER PRIESTER	1	3	18
ZWEYTER PRIESTER	15	174	989
DRITTER PRIESTER	1	3	15
SPRECHER	16	426	2255
WEIB	28	268	1355
CHOR	5	187	928
EINE STIMME	2	8	43
ERSTER KNABE	17	366	1977
ZWEYTER KNABE	17	401	2138
DRITTER KNABE	17	401	2138
ZWEY GEHARNISCHTE	4	142	761
MOHR	4	57	327
