wer	acts	words	chars
Fleure	2	0	0
GERTRUDE	83	2196	11888
DORE	122	3646	19926
PETER	2	14	67
LISBETH	27	684	3821
VEIT	82	2281	12697
GRAF	89	2074	11987
STEFFEN	25	940	5076
BASTIAN	28	835	4518
KATHRIN	3	121	663
CHARLES	45	1010	5752
ADOLPH	107	2317	13282
DENISE	74	2032	10769
LEBLANC	36	615	3513
DIENER	3	30	171
ROSE	170	3944	21476
AMÉLIE	3	11	69
Michel	1	1	5
