wer	acts	words	chars
DIE DREI TRÄGERINNEN	1	16	83
DRUHAN	23	991	5379
PRIMISLAUS	189	5769	31303
LIBUSSA	308	13139	70723
ZWRATKA	85	4810	26182
ZIACK	38	1208	6232
MENELJUBA	19	197	1063
HUBALJUTA	21	590	3155
MORIWESCHA	20	203	1082
ENTAWOPA	22	198	1002
VERWIRRTE STIMMEN	5	33	171
LAPACK	62	2196	11838
TRINITAS	48	2047	11047
PACHTA	105	3204	17444
SLAWOSCH	41	1943	10749
WLASTA	210	8474	45323
SCHARKA	75	1516	7874
BIWOG	36	704	3708
STRATKA	118	2561	13646
CHOR DER MÄGDLEIN	32	523	2880
CHOR DER JUNGFRAUEN	5	104	587
TETKA	91	3810	20855
KASCHA	82	2785	15319
DRZEWOSLAUS	14	639	3487
DOMASLAUS	95	1850	9921
WRSCHOWETZ	143	3220	17192
VOLK	27	255	1390
MORIBUD	5	140	760
ERSTER SLAVE	4	93	476
ZWEITER SLAVE	4	75	366
DRITTER SLAVE	2	28	127
STIASON	14	528	2841
ROZHON	59	2329	12662
DIE DIRNEN	10	193	1134
CHIRCH	12	336	1783
VIELE STIMMEN	1	9	52
DIE MÄGDLEIN	14	268	1457
EINE VON DEN WACHEN	1	7	40
MILENKA	16	348	1768
ZASTAWA	15	192	1019
DOBROWKA	12	158	828
HODKA	11	228	1162
BUDESLAWKA	11	212	1191
KLIMBOGNA	10	85	462
DOBROMILA	11	144	796
MLADKA	4	43	218
NABKA	12	145	753
SWATAWA	4	31	155
RADKA	4	30	158
WASTIL	3	39	214
HOWOR	4	52	277
MILICK	2	21	126
POPLOPECK	2	36	156
SCHRIBEN	1	7	35
DAS HEER	11	92	533
GESCHREI DER VERWUNDETEN	1	5	26
KRIEGER	3	44	203
TRINTTAS	2	108	651
LEBUSSA	1	2	9
CHOBOL	16	329	1768
CHOR DER BERGLEUTE	1	52	244
DIE SCHÜLERINNEN	1	19	139
LIBUSSENS MÄGDLEIN	2	98	505
DIE MÄNNER	6	174	893
VIERTER SLAVE	1	7	36
FÜNFTER SLAVE	2	15	92
SECHSTER SLAVE	1	9	46
SIEBENTER SLAVE	1	7	36
ACHTER SLAVE	1	24	116
EINE JUNGFRAU VOM TURM	1	15	78
DIE WEIBER	2	15	84
CHOR DER PRIESTER	2	36	213
DIE WÄCHTERIN	1	6	39
