wer	acts	words	chars
THOMAS WINS	46	1136	6002
FRITZE BELKOW	31	227	1188
PETER STUMMEL	35	306	1591
HANS STURZ	64	796	4359
PERWENITZ	239	3295	17647
RIENEKE	31	216	1062
HEINSE LANG	22	115	578
MARTIN	31	340	1809
DANNEWITZ	92	478	2492
SECHELWEG	63	391	2008
STROBAND	143	1331	6928
KÖHNE FINKE	146	3491	17941
KÄTHE	53	353	1853
GRETHE	33	171	882
KNECHT (1.11)	1	5	31
RIEKE	76	654	3168
KONRAD VON QUITZOW	188	2711	14445
WICHART VON ROCHOW	10	52	286
MÄNNER UND FRAUEN	1	4	19
GERTRUD	49	944	4816
AGNES	40	456	2371
PROPST ORTWIN	14	199	1048
DIE STRAUSSBERGER	13	47	267
BRIESEN	8	53	284
SCHWERIN	12	64	351
BARBARA	65	942	5031
KASIMIR	32	286	1505
OTTO	46	380	2022
KRODENOW	10	103	571
DIETRICH	275	4358	23556
STIMME	1	3	14
SCHWALBE	52	916	4780
BLANKENFELD	7	30	149
DIE MUSIKANTEN	4	23	104
GRECHEWITZ	13	156	896
HEROLD	3	34	190
DIE EDELLEUTE	4	11	57
DIE BÜRGER	4	10	49
ILEBURG	36	423	2310
PUTLITZ	2	4	24
LIPPOLD VON BREDOW	8	59	319
ALLE BÜRGER	3	7	35
SCHWABE	1	6	23
FRIEDRICH	47	1029	5664
STIMMEN	3	10	73
GESANG	1	32	179
DAS VOLK	3	15	70
DIE GANZE VERSAMMLUNG	0	0	0
BRANDENBURGER RATMANNE	4	38	209
FRANKFURTER RATMANNE	4	17	94
SPANDAUER RATMANNE	1	5	28
RATMANNEN	4	19	99
RATHENOWER RATMANNE	4	18	99
RUPPINER RATMANNE	4	16	88
HAVELBERGER RATMANNE	4	15	86
DIE BERLINER	2	11	43
EIN KNECHT	11	114	603
DIE KNECHTE	3	15	85
