wer	acts	words	chars
GESICHT	6	75	417
BRUDER	18	729	3779
FAUST	164	4202	21756
DIE STIMME	1	251	1276
MEPHISTOPHELES	50	3002	16014
PRINZ	25	1215	6259
RÖMER	2	89	486
ERSTER GAST	1	53	269
ZWEITER GAST	1	142	706
DRITTER GAST	2	60	319
VIERTER GAST	2	54	274
FÜNFTER GAST	1	108	593
SECHSTER GAST	1	41	211
DER MALER	2	95	471
DER BAUMEISTER	1	40	238
DER HUMANIST	1	9	44
DER POET	1	8	42
DER FORSCHER	1	6	41
RUF	2	5	27
ER	2	94	526
DER HAUPTMANN	12	562	2941
STIMMEN DER ANDRÄNGENDEN	3	69	395
HELENA	16	538	2821
EINER (1.3)	1	3	16
EIN ANDRER (1.3)	1	9	58
ERSTER JUNGER KÜNSTLER	2	69	341
ZWEITER JUNGER KÜNSTLER	1	44	221
DRITTER JUNGER KÜNSTLER	2	70	369
KARDINAL	1	280	1500
DER PAPST	6	188	1040
MICHELANGELO	12	730	3856
DOMHERR	15	673	3631
PROFESSOR	36	1843	9631
EIN STUDENT	4	26	151
EINER DER STUDENTEN	2	32	172
EIN JUNGER STUDENT	1	8	43
ANDRE STUDENTEN	1	5	23
WIEDER ANDRE STUDENTEN	1	9	44
EINIGE STUDENTEN	1	4	28
ZWEI STUDENTEN	1	8	42
DIE STUDENTEN	1	5	40
SCHÜLER	1	16	86
SCHOLAR	5	130	683
PRÄDIKANT	5	479	2710
EIN BAUER	3	83	427
MEHRERE BAUERN	1	34	191
PLÖTZLICHER RUF	2	5	33
EIN ANDERER BAUER	1	7	33
WIEDER EINER (BAUER)	1	14	86
ERSTER REITER	4	172	963
ZWEITER REITER	6	118	632
DRITTER REITER	5	69	378
FÜNFTER REITER	1	0	0
VIERTER REITER	3	66	355
DER GEFANGENE BAUER	3	29	162
DAS MÄDEL	2	6	27
WIRT	2	35	185
STUDENT	3	27	154
SCHULMEISTER	17	636	3485
EIN MÄDEL	1	5	24
EIN BUB	1	12	60
DER RITTER	39	1313	7014
KEHRBACH	12	153	754
BEHNDORF	1	74	400
KLEINMAIER	3	15	85
EINER AUS DEM HAUFEN	1	131	741
IM HAUFEN	1	13	66
MATTHES	2	138	782
DIE HOFMÄNNIN	6	130	821
RUFE	1	12	79
EINER (3.4)	2	29	174
EIN ZWEITER (3.4)	1	19	97
EIN DRITTER (3.4)	1	19	126
PRÄLAT	15	438	2360
HOFMARSCHALL	6	53	251
NARR	21	295	1585
EINER (5)	2	21	110
EIN ANDRER (5)	1	17	84
DER KAISER	32	480	2512
KANZLER	52	1449	7604
SCHATZMEISTER	5	243	1283
FELDHERR	1	7	41
EDELMANN	3	77	374
BÜRGERMEISTER	1	20	98
ABENTEURER	14	698	3611
DIE STIMME (4)	8	206	1072
DER ÄLTESTE DER STUDENTEN	1	8	46
EREMIT	2	10	52
WACHE VON DRAUSSEN	1	10	48
GRETCHEN	2	140	738
