wer	acts	words	chars
VEREINIGTE HEERSCHAREN	1	94	567
FRANZISKUS	37	3460	18811
PIETRO	7	337	1810
BISCHOF	7	116	614
PAPST	10	166	881
EIN KARDINAL	2	86	464
KARDINAL JOHANNES VON PAUL	2	96	565
DER BRUDER LEO	28	267	1418
DER BRUDER GINEPRO	17	276	1507
DER HEILIGE VATER	1	525	2966
DER BRUDER BERNHARD	12	143	797
DER BRUDER MASSEO	11	138	759
ALLE BRÜDER	6	31	188
DER BRUDER EGIDIO	13	176	957
DER BRUDER ANTONIO	10	178	993
DER BRUDER JOHANNES	65	2150	11663
DER BRUDER MARTIN	35	802	4265
DER BRUDER PETER	12	260	1476
LUTHER	107	5381	29051
DER BÖSE	8	420	2212
DER BRUDER THADDÄUS	18	247	1332
DER MÖNCH	10	341	1836
DAS VOLK	17	68	356
ERSTE GESTALT	12	140	732
ZWEITE GESTALT	5	62	357
FÜNFTE GESTALT	9	56	290
VIERTE GESTALT	11	171	903
DRITTE GESTALT	10	86	457
DIE NONNE	9	69	301
KRÜPPEL	5	225	1111
WEIB	2	19	92
GESCHÖPF	6	553	3045
FREUND APEL	4	65	358
KATHARINA	4	70	376
FREUND JONAS	4	70	399
DIE FRAU DES KRANACH	3	26	146
FREUND KRANACH	2	20	100
FREUND BUGENHAGEN	7	448	2500
DER HEILIGE ENGEL	3	687	3740
	1	2	13
