wer	acts	words	chars
DRITTE ORDONNANZ	1	3	21
ROSE	111	3010	15739
BRÜNNOW	28	503	2729
HEINRICH	69	2234	12145
MUTTER	39	668	3414
NETTELBECK	134	4061	21832
ARNDT	15	218	1160
GEFREITER	21	194	1107
WÜRGES	83	2089	11301
GNEISENAU	101	2652	14566
KELLERMEISTER	17	307	1690
GRÜNEBERG	46	549	2996
SCHRÖDER	30	671	3523
GEERTZ	22	180	946
ZIPFEL	38	1028	5757
SOLDAT	2	6	36
ERSTER BÜRGER	4	25	137
ZWEITER BÜRGER	3	24	139
DRITTER BÜRGER	4	25	122
VIERTER BÜRGER	3	19	110
WEBER	22	423	2238
OFFIZIER	5	75	449
STEINMETZ	4	139	767
ERSTE ORDONNANZ	1	35	182
ZWEITE ORDONNANZ	1	22	135
