wer	acts	words	chars
GERTRAUDE	17	1271	7054
BARONINN	269	3700	19982
BABETTE	43	517	2823
BLÜMLEIN	156	3878	21639
BEDIENTER	5	30	160
WOLF	66	1828	10281
NINA	161	1375	6872
EMY	116	717	3668
MARIE	115	2591	14166
WALDBERG	272	2876	15401
GRÜNAU	155	2248	12111
FRAU VON LICHTBERG	47	355	1961
FRÄULEIN GRINZBERG	36	193	981
FRÄULEIN IMPFEN	62	785	4163
FRAU VON DORN	45	418	2157
RÄTHINN SOMMER	33	369	2033
HERR VON HACKEN	23	117	610
HERR VON DORN	38	230	1266
BARONINN DÜRRER	39	595	3339
HERR VON TRAUFBACH	27	122	652
