wer	acts	words	chars
KAMMERHERR	7	29	148
STEN	21	306	1599
HASKO	20	284	1461
RICHERS	116	3653	20024
BOTWID	55	666	3503
THEIT	48	273	1414
STRUEN	35	176	897
JÖRAN	158	3066	16883
EDELKNABE	2	3	13
KÖNIG	127	2465	13486
KÖNIGINN	74	2108	11168
WOLOWSKY	76	1482	7854
CATHARINA	94	2809	14747
SIEGMUND	15	279	1405
JOHANN	71	1613	8782
GRUSKEL	9	221	1221
HAUPTMANN	20	140	744
RATHSDIENER	2	11	46
BRASKE	54	1437	8020
EINIGE RÄTHE	1	6	22
EINER	2	10	43
EINIGE	2	12	53
EIN RATH	2	8	42
MEHRERE RÄTHE	1	2	10
PAGE	4	37	199
