wer	acts	words	chars
FROSCH	42	633	3545
ALFRED	82	1258	6920
ADELE	146	2190	11737
ROSALINDE	223	3343	18198
EISENSTEIN	294	3816	21356
BLIND	25	300	1956
FALKE	131	1718	9808
FRANK	153	1796	10028
CHOR DER GÄSTE	2	85	496
MELANIE	43	399	2212
FAUSTINE	42	395	2204
FELICITAS	4	42	244
MINNI	3	29	158
HERMINE	2	26	143
NATALIE	2	29	173
CHOR	36	395	2170
ALI BEY	32	328	1808
SIDI	2	37	220
RAMUSIN	32	332	1818
MURRAY	38	363	2008
CARIKONI	10	80	434
IDA	69	643	3647
ORLOFSKY	96	1194	6404
IVAN	7	29	173
DIE DAMEN	49	387	2118
DIE HERREN	33	321	1761
