wer	acts	words	chars
ZWEI TRITONEN	1	20	118
INO	21	929	4886
ATHAMAS	25	884	4459
JUNO	9	183	1016
EINE STIMME	3	62	318
CHOR	6	114	635
ZWO STIMMEN	1	25	142
ZWO NEREIDEN	1	23	131
