wer	acts	words	chars
EIN RITTER 8	2	14	84
ALMANSOR	64	6523	36074
ERSTER MAURE	4	54	308
ZWEITER MAURE	1	9	45
DRITTER MAURE	1	9	43
HASSAN	33	1361	7665
DON ENRIQUE	24	379	1966
ZULEIMA	28	1301	7248
ALY	20	865	4843
PEDRILLO	9	443	2363
EINE ANDRE STIMME	1	26	135
EINE DRITTE STIMME	1	16	78
ERSTER RITTER 3	1	7	39
SEINE DAME	1	7	44
EINE ANDRE DAME	3	38	211
IHR RITTER	1	14	82
DER ERSTE	2	37	207
DER ZWEITE	2	40	231
DER EINE RITTER	1	13	79
DER ANDRE RITTER	1	17	88
EIN JUNGER FIEDLER	2	95	508
DER ALTE	2	43	220
DON DIEGO	9	612	3385
DIE GESTALT	1	95	537
DER CHOR	1	546	3243
EIN RITTER 6	2	26	115
EIN TEIL DER GÄSTE	2	11	69
DER ABT	2	63	357
EIN ANDERER RITTER 6	3	33	154
ALLE	3	13	59
DRITTER RITTER	3	31	146
VIERTER RITTER	3	100	522
FÜNFTER RITTER	3	69	318
DER HARFENSPIELER	2	311	1715
EINIGE RITTER	1	5	25
ANDRE RITTER	1	34	169
ALLE RITTER	1	12	42
MEHRERE RITTER	1	1	12
