wer	acts	words	chars
DER STEUERMANN	1	13	66
ISOLDE	123	3311	16807
BRANGÄNE	50	1139	5657
DER JUNGE SEEMANN	2	81	419
KURWENAL	48	921	4678
TRISTAN	121	2957	15371
SCHIFFSVOLK	8	67	265
MELOT	4	61	302
MARKE	8	564	2943
HIRT	4	51	247
