wer	acts	words	chars
HAUSHOFMEISTER	1	4	21
GEISTERCHOR	4	223	1355
VAMPYRMEISTER	1	55	301
RUTHWEN	109	2769	14695
JANTHE	15	355	1879
BERKLEY	8	127	695
EIN DIENER	2	32	192
AUBRY	108	1966	10606
RUTHWENS	1	1	3
MALWINA	84	1428	7572
DAVENAUT	61	967	5373
GEORGE	33	974	5049
ALLE LANDLEUTE	2	64	383
ALLE JÄGER	1	28	162
VIER PAAR LANDLEUTE	5	242	1400
CHOR DER JÄGER UND LANDLEUTE	9	493	2634
CHOR DER TÄNZER	2	155	825
CHOR DER TRINKER	3	153	830
ALLGEMEINER CHOR	44	827	4426
GADSHILL	11	221	1137
BLUNT	40	668	3567
SCROP	16	267	1410
PERTH	19	226	1233
FRAU BLUNT	28	575	3250
EMMY	53	1108	5746
GREEN	17	349	1861
DIE MÄDCHEN	5	29	137
CHOR DER GÄSTE	2	54	340
