wer	acts	words	chars
ACHT FRAUEN	1	19	103
DER HEERRUFER	10	327	1691
DIE BRABANTER	6	49	271
KÖNIG HEINRICH	41	897	4726
DIE SACHSEN	1	8	45
FRIEDRICH	45	1301	6794
ELSA	66	1665	8339
DIE MÄNNER	58	1083	5849
DIE FRAUEN	24	510	2793
LOHENGRIN	54	1804	9206
BRABANTISCHE EDLE	3	100	535
ORTRUD	50	1176	5948
DER DRITTE EDLE	8	128	675
DER ZWEITE EDLE	8	126	675
DER VIERTE EDLE	8	127	678
DER ERSTE EDLE	8	126	673
VIER EDELKNABEN	2	21	98
DES KÖNIGS GEFOLGE	1	5	34
