wer	acts	words	chars
PRÄTOR	5	112	659
NERO	221	8105	48021
LUKANUS	2	65	289
ERSTES MÄDCHEN	8	147	834
ZWEITES MÄDCHEN	7	49	290
ANDERE MÄDCHEN	4	23	150
DRITTES MÄDCHEN	6	35	223
ALLE MÄDCHEN	4	23	164
MONTANUS	1	9	55
TERPNUS	2	3	11
AKTE	17	583	3445
ZENTURJO	20	483	2844
SENEKA	11	164	1011
BURRUS	14	1390	8777
TIGELLINUS	67	3621	22693
ERSTER CHRISTJANUS	6	58	334
ERSTER LEICHENTRÄGER	6	47	295
ZWEITE CHRISTJANA	15	91	542
ERSTE CHRISTJANA	10	117	648
DRITTE CHRISTJANA	9	138	846
ZWEITER LEICHENTRÄGER	6	55	317
DRITTER LEICHENTRÄGER	8	143	777
EINER VOM DRITTEN TRANSPORT	1	7	41
EIN MÄDCHEN	3	152	868
ERSTER BOTE	4	15	89
ZWEITER BOTE	6	97	543
EUELPIUS	4	225	1176
ZWEITER CHRISTJANUS	1	37	201
KURIO	18	250	1738
BEWAFNETER	5	91	613
DIE TRUPPEN	3	94	447
EPAPHRODITUS	9	295	1717
NYMPHIDIUS	6	108	643
KOSROËS	4	123	782
ERSTER BEGLEITER	4	33	228
ZWEITER BEGLEITER	3	47	254
FLAVUS	2	103	629
STIMME	4	10	136
SOLDAT	1	29	146
CHARMIS	51	593	3139
DORYPHOROS	4	981	5826
AUGUSTJANI	3	45	232
ERSTER RÖMER	3	157	968
ZWEITER RÖMER	3	83	449
DRITTER RÖMER	3	112	682
ERSTER MANN	1	47	286
ERSTER JUDE	8	69	394
ZWEITER JUDE	7	162	785
HASTA	20	669	4213
SPÄHER	2	110	861
SPORUS	9	123	685
PHAON	2	45	265
