wer	acts	words	chars
LEIBARZT	1	20	116
LIDI	9	225	1336
FEE	7	237	1332
ALLE NYMPHEN	1	5	28
QUECKSILBER	190	5676	31277
STIMME DES HORNES	2	19	92
STIMME DER SCHÄRPE	2	18	89
STIMME DES STABES	2	18	92
DIE GENIEN	1	5	25
MATROSEN	5	58	329
ERSTER MATROSE	10	206	1190
TUTU	80	1731	9637
LINDA	66	1096	5717
ZORAIDE	123	2081	11682
HASSAR	53	724	3995
BEDIENTE	1	19	90
VOLK	2	23	105
QUECKSILBERS DIENER	1	1	6
EINE WACHE	5	59	324
ANFÜHRER	4	31	187
ERSTER HUSAR	5	48	347
DIE AMAZONEN	1	2	7
CHOR	6	82	434
ZADI	19	235	1259
SKLAVE	5	18	99
