wer	acts	words	chars
ALMER	13	443	2607
MUTTER	36	1102	6172
FRANZISKA	304	4881	27740
DR. HOFMILLER	30	616	3700
DR. MALKOLM	1	46	295
DR. HORNSTEIN	14	510	2909
EINE TIEFE MÄNNERSTIMME	3	18	101
VEIT KUNZ	191	4777	28383
GESPENSTERSCHRECK	3	348	1914
ROHRDOMMEL	4	48	279
KIESGRÄBER	2	8	44
SPREIZFÜSSCHEN	4	107	621
MAUSI	5	94	478
KULLMANN	2	8	44
CHORUS	1	58	323
LAURUS BEIN	8	416	2451
HAGELMEIER	1	12	89
KARAMINKA	1	13	81
HAGLMEIER	1	18	93
SOPHIE	59	1388	7990
LYDIA	16	267	1437
DIRCKENS	8	101	585
PATER	18	263	1597
HERZOGIN	13	158	913
HERZOG	101	1936	11442
GISLIND	38	626	3341
DAS KIND	7	67	344
DER HUNDEKOPF	4	128	736
DER SCHWEINEKOPF	4	116	681
POLIZEIPRÄSIDENT	12	308	1938
BREITENBACH	52	1462	8456
FAHRSTUHL	16	425	2627
REGISSEUR	2	25	138
DIE MÄDCHEN	2	335	1926
DER REGISSEUR	1	15	82
HOHENKEMNATH	13	388	2092
DER DIENER	3	24	119
VEITRALF	6	25	125
