wer	acts	words	chars
DER OSTPREUSSISCHE FELDWEBEL	1	5	25
EPHRAIM	11	184	913
BÜLOW	16	484	2796
EIN HERANSPRENGENDER ADJUTANT	2	31	139
EIN ENGLISCHER JÄGER	1	4	23
EIN SERGEANT DER ENGLISCHEN JÄGER	1	10	60
JAMES	7	76	475
DER AM HOHLWEG KOMMANDIERENDE ENGLISCHE GENERAL	13	167	916
EIN HAUPTMANN DER HANNOVERISCHEN SCHARFSCHÜTZEN	4	37	205
FRITZ	8	144	806
EIN ALTER HANNOVERISCHER SCHARFSCHUTZ	1	52	261
DER SCHÜTZENHAUPTMANN	1	10	57
EIN FRANZÖSISCHER HAUPTMANN	2	48	286
EIN ANDERER FRANZÖSISCHER HAUPTMANN	2	16	115
EIN ENGLISCHER LINIENSOLDAT	1	27	178
EIN FRANZÖSISCHER SOLDAT	2	18	89
FRANZÖSISCHE ADJUTANTEN	2	32	182
EIN ENGLISCHER OBRIST	5	230	1347
DER ADJUTANT	4	53	280
DER ALTE HANNOVERSCHE SCHARFSCHÜTZ	1	13	83
LORD SOMERSET	12	278	1547
VERSPRENGTE ENGLISCHE DRAGONER	2	19	115
MILHAUD	8	224	1232
DIE KÜRASSIERE	2	17	98
EINER DER KÜRASSIERE	3	16	81
ENGLISCHER FAHNENTRÄGER	1	3	16
EIN OFFIZIER DES GENERALSTABES	1	23	119
PÄCHTER LACOSTE	9	86	488
EIN OFFIZIER DER GARDEGRENADIERE ZU PFERDE	3	40	241
EIN ANDERER OFFIZIER DER GARDEGRENADIERE ZU PFERDE	3	70	428
EIN OFFIZIER DER SUITE	1	14	73
EIN ADJUTANT (5. AKT)	6	121	632
DRITTER ADJUTANT (5. AKT)	1	37	201
ZWEITER ADJUTANT (5. AKT)	2	31	191
ANDERE ADJUTANTEN	4	52	308
EIN ANKOMMENDER ADJUTANT	1	5	27
GARDEMUSIK	2	25	102
ALLE OFFIZIERE DER SUITE	1	2	9
EINER DER GARDEHOBOISTEN	1	7	23
LOBAU	4	43	240
ZIETHEN	4	97	502
EINE MASSE FRANZÖSISCHER REITER	1	16	87
EINE MASSE FRANZÖSISCHER INFANTERIE	1	6	36
EINE MASSE FRANZÖSISCHER REITTENDER ARTILLERIE	2	12	70
EIN FRANZÖSISCHER INFANTERIEOFFIZIER	1	9	51
EIN ENGLISCHER DRAGONEROFFIZIER	3	16	89
ENGLISCHE REITEREI	1	6	41
PREUSSISCHE REITEREI	1	6	41
DIE GRANITKOLONNE	1	6	22
