wer	acts	words	chars
DIE POETISCHEN	1	12	65
EIN JÄGER	7	2783	15058
CURIO	59	783	4286
SELINUS	31	439	2494
SICAMBER	14	152	817
ARZT	49	860	4858
HANSWURST	140	3718	21000
LEANDER	66	984	5389
ZERBINO	176	3119	17598
NESTOR	203	5526	30993
DER GENERAL	1	1	5
EIN KAPITÄN	1	20	105
EIN BÜRGER	1	7	45
EIN ANDRER BÜRGER	1	11	62
DRITTER BÜRGER	6	90	515
VIERTER BÜRGER	5	41	246
ERSTER BÜRGER	9	133	694
ZWEITER BÜRGER	4	21	111
GOTTLIEB	150	2613	14697
GENERAL	3	16	85
KÜSTER BÜRGER	1	5	33
SOLDAT	3	17	77
BAUER	21	325	1704
FREMDER DOKTOR	4	186	1044
HINZE	4	56	306
DORUS	56	1913	10101
LILA	49	1695	8882
KÖNIG	40	1471	8106
HINZENFELD	40	790	4492
LYSIPPUS	108	1304	7187
SAPPI	17	291	1707
ALLE	6	52	274
CHOR	6	192	991
SIMONIDES	59	522	2937
ERSTER BEDIENTER	3	56	330
ZWEITER BEDIENTER	2	29	156
DRITTER BEDIENTER	3	40	205
STALLMEISTER	105	1870	10551
WALDBRUDER	60	2026	11060
HELIKANUS	77	3168	16955
TÜRSTEHER	5	81	423
HEUKANUS	3	94	499
KÖNIGIN	27	345	1798
BAUEN	1	51	292
RÄTE	3	11	47
POLYKOMIKUS	92	2175	12223
JEREMIAS	167	3762	20595
HEIDE	2	24	160
SATAN	33	573	3105
SCHMIED	24	665	3689
GESELLEN	3	104	556
MEISTER	4	185	1002
PETER	5	65	352
MICHEL	2	10	60
CLEON	31	1557	8260
ALTER KÖNIG	37	799	4404
MÜLLER	34	1154	6256
DER STARKE	1	60	342
DER GROSSE	1	10	43
DER FESSLER	1	32	168
WIRT	18	246	1321
HELLKANUS	1	162	861
DIE LEUTE	12	116	606
CASPAR	10	96	491
BOTE	3	138	726
MANN	4	75	428
FRAU	3	109	591
VATER	5	109	619
SOHN	11	415	2336
BRAMARBAS	4	58	326
EIN SOLDAT	1	11	63
THEON	2	28	135
DIE GENIEN	2	32	155
ERSTER GESELL	9	173	1061
ZWEITER GESELL	3	148	941
DRITTER GESELL	2	81	465
VIERTER GESELL	16	260	1501
SCHÄFER	15	1039	5884
CLEORA	6	560	3071
DER WALD	5	348	1951
ROSEN	3	158	833
LILIEN	3	94	556
DIE GEBÜSCHE	1	42	221
DIE TULPEN	1	136	769
VEILCHEN	1	41	229
VERGISSMEINNICHT	1	40	192
FELDBLUMEN	1	38	183
VOGELGESANG	1	52	257
DAS HIMMELBLAU	1	109	614
GÖTTIN	22	278	1552
DANTE	9	158	901
ARIOST	12	87	483
GOZZI	1	7	37
PETRARCA	2	14	88
TASSO	2	8	54
CERVANTES	8	88	494
HANS SACHS	1	9	66
BÜRGER	1	1	7
SOPHOKLES	4	66	371
DIE BLUMEN	1	38	179
ERSTER GENIUS	4	22	130
ZWEITER GENIUS	1	3	13
DER TISCH	7	182	980
DER STUHL	4	114	641
EIN SCHRANK	2	42	247
DER SPIEGEL	1	10	65
DER BRATEN	1	18	101
ANDERE SCHÜSSELN	2	14	72
DER WEIN	1	5	26
DIE FLASCHEN	1	6	28
DIE GEIGE	1	201	1106
DIE HARFE	2	147	795
FLÖTE	1	53	280
OBOE	1	36	205
TROMPETE	1	27	141
GEIGE	1	36	237
WALDHORN	1	10	47
DIE MÖBEL	1	5	45
DIE QUELLEN	1	78	439
BERGSTROM	1	79	483
DER STURM	1	88	472
DIE BERGGEISTER	1	92	496
SHAKESPEARE	10	159	824
WIRTIN	12	170	968
ERSTER HERR	3	21	107
BEDIENTER	2	8	46
ERSTE DAME	2	15	89
ZWEITE DAME	1	2	10
DRITTE DAME	1	6	36
POET	16	758	4386
DRINNEN	2	36	186
VERFASSER	20	371	2046
SETZER	1	11	63
KRITIKER	8	116	652
LESER	6	123	665
VON HINZENFELD	14	192	1074
NATHANAEL	8	106	608
DIE NATION	2	28	163
