wer	acts	words	chars
MEISTERSINGER	4	43	240
DIE GEMEINDE	1	47	233
WALTHER	101	2185	11434
MAGDALENE	54	756	3850
EVA	104	1405	6875
DAVID	55	1633	8580
ZWEITER LEHRBUBE	13	137	764
ERSTER LEHRBUBE	12	132	734
DIE LEHRBUBEN	29	510	2844
POGNER	36	1027	5325
BECKMESSER	110	2762	14139
SACHS	176	5298	27117
VOGELGESANG	9	39	202
NACHTIGALL	8	35	181
FRITZ KOTHNER	41	453	2548
ORTEL	3	10	52
ZORN	2	7	45
MOSER	2	7	34
EIN LEHRBUBE	2	5	22
EISSLINGER	1	1	5
FOLTZ	3	9	46
SCHWARZ	1	3	22
DIE MEISTER	13	278	1433
DER NACHTWÄCHTER	2	61	325
NACHBARN	4	154	776
EIN NACHBAR	3	15	74
EIN ZWEITER NACHBAR	3	15	72
GESELLEN	2	113	631
DIE NACHBARINNEN	1	134	654
DIE SCHUSTER	2	72	412
DIE SCHNEIDER	2	94	515
DIE BÄCKER	1	35	180
DAS VOLK	12	334	1681
