wer	acts	words	chars
TEUFEL	14	611	3195
SPIELANSAGER	1	79	410
GOTT DER HERR	2	211	1098
TOD	15	342	1842
JEDERMANN	181	5116	26083
KOCH	2	25	121
GESELL	38	856	4499
ARMER NACHBAR	8	149	783
SCHULDKNECHT	13	249	1349
SCHULDKNECHTS WEIB	4	117	619
JEDERMANNS MUTTER	20	733	3901
BUHLSCHAFT	20	339	1693
VORSÄNGER	1	30	167
DIE GÄSTE	1	86	465
EIN FRÄULEIN	8	157	862
DER DICKE VETTER	26	486	2479
DER DÜNNE VETTER	14	325	1774
EIN GAST	11	216	1105
EIN ANDERES FRÄULEIN	8	160	827
EIN DRITTES FRÄULEIN	4	145	770
EIN ANDERER GAST	6	131	676
STIMMEN	1	3	32
HAUSVOGT	3	25	136
KNECHT	5	66	350
MAMMON	12	365	1844
WERKE	30	588	2955
GLAUBE	26	531	2855
