wer	acts	words	chars
DIE AELTESTEN DER ĀN'ALLĀH	11	41	224
SCHEIK	368	7188	36410
ERSTER AELTESTER	57	253	1445
ZWEITER AELTESTER	56	247	1414
DRITTER AELTESTER	49	218	1270
BABEL	131	1262	6582
IMĀM	117	1228	6685
KĀDI	125	1252	6344
HĀKAWĀTI	83	908	4700
SCHĒFAKĀ	121	1530	7602
VORBETER	34	284	1415
SCHEIK DER TODESKARAWANE	122	1810	9045
PHANTASIE	112	1460	7429
DER VORBETER	1	13	71
BIBEL	29	456	2344
ERSTER SCHEIK	26	157	771
ZWEITER SCHEIK	19	111	544
DRITTER SCHEIK	24	111	542
VIERTER SCHEIK	24	140	698
FÜNFTER SCHEIK	16	84	384
SECHSTER SCHEIK	15	71	338
SIEBENTER SCHEIK	15	73	340
ACHTER SCHEIK	15	87	409
ALLE ĀN'ALLĀH	23	115	505
DIE VIER SCHMIEDE	12	46	254
