wer	acts	words	chars
JETTE	3	149	818
ERSTER SCHREIBER	1	3	20
ZWEITER SCHREIBER	1	3	20
DIE ANDEREN SCHREIBER	1	10	52
SCHRAUBER	74	1316	7322
FÄHNLEIN	90	2508	13763
HERMINE	73	1505	8336
ZÄNKER	18	266	1480
DOKTOR HAMMER	137	3114	17294
ALWINE	66	1393	7692
EIN TEIL DER GESELLSCHAFT	2	14	79
DIE ANDERN (DER GESELLSCHAFT)	2	18	95
ROST	4	38	214
RELLMANN	2	27	151
HERR SEITZER	3	31	155
FRAU SEITZER	3	20	112
TATERL	1	56	326
FRAU XANDL	67	1522	8132
ARBEITER	2	22	108
BURSCHE	3	17	86
SEIN WEIB (ARBEITER)	1	8	46
ADALGISE	3	34	211
FRAU HOLLER	9	56	322
THOMAS	183	7027	38424
DIENSTMANN	1	19	100
EIN STROLCH	4	87	458
FLORIAN	29	619	3319
ALTE HAMMER	103	3489	18155
