wer	acts	words	chars
DER UNBEKANNTE	1	149	830
DER WOHLWOLLENDE	17	112	606
DER BISSIGE	24	179	1025
DER NAIVE	18	177	995
KELLNER	1	3	24
DIREKTOR	25	613	3593
DER KLAVIERSPIELER	1	0	0
DER DICHTER	30	317	1716
HELD	60	941	4903
LIESL	26	204	1019
HERZOG	10	220	1168
HERZOGIN	9	236	1237
ZWEITER BÜRGER	7	58	325
ERSTES MÄDEL	4	31	181
DER RÄSONEUR	10	178	980
DER DIENER	3	38	200
HEITERER	11	85	455
ERNSTER	17	106	536
DIE FRAU	1	7	42
ERSTER BÜRGER	3	25	152
ZWEITES MÄDEL	4	28	164
DICHTER	3	47	254
KANZELIST	3	54	299
BRÄUTIGAM	3	37	213
TOD	7	85	485
ERSTER SKANDALMACHER	2	3	14
ZWEITER SKANDALMACHER	5	18	94
VIELE	8	17	108
MEISTER	3	42	208
GRAF	3	48	244
DER HERR IM PARKETT	6	64	373
DIE MARIONETTEN	2	56	302
