wer	acts	words	chars
JOHANN	5	37	208
ETSCHMANN	32	279	1461
ELSI	29	330	1739
MATHIS	8	156	871
SPECKBACHER	91	1909	10357
DER HERZOG VON DANZIG	46	1678	9197
LA COSTE	26	535	2950
FALLERN VON RODENECK	26	298	1627
MAYER	3	355	1901
JOACHIM HASPINGER	34	639	3500
ANDREAS HOFER	142	4745	25436
DAS VOLK	9	71	382
EIN BOTE	2	18	114
DER TIROLER	2	18	85
FLEURY	18	468	2622
EISENSTECKEN	17	350	1993
EIN OFFIZIER	1	51	278
FRAU STRAUBING	10	319	1614
HEINRICH	2	13	74
DIE RAINER	7	92	464
DIE TIROLER	6	52	281
FRANZÖSISCHE SOLDATEN	1	20	106
EIN FFRANZÖSISCHER SOLDAT	3	13	74
EIN ANDERER FRANZÖSISCHER SOLDAT	1	2	10
KANZLER	37	1164	6588
LEGATIONSRAT	35	640	3647
EIN KABINETTSSEKRETÄR	1	9	41
EIN TIROLER	2	9	50
VIZEKÖNIG	44	1511	8061
PARAGUAY	28	686	3930
EIN PAGE	2	53	266
EIN WEIB	7	105	559
EIN KIND	6	32	181
ZWEITES KIND	1	7	36
DIE TIROLERIN	1	3	14
BÄRBEL	12	355	1862
DONAY	11	130	714
RAYNOUARD	15	97	542
