wer	acts	words	chars
VOLK	48	444	2429
BRENNER	82	1234	6958
MEPHISTOPHELES	171	2197	12824
ERSTER STUDENT	27	147	839
ZWEITER STUDENT	20	127	730
DRITTER STUDENT	13	47	268
DOKTOR FAUST	543	10640	60696
FAUSTS VATER	123	1590	8705
GERICHTSDIENER	6	31	165
ITHURIEL	62	1112	6576
STIMME	11	136	841
ERSTER GEIST	3	8	48
ZWEITER GEIST	4	24	126
SIEBENTER GEIST	5	31	191
DRITTER GEIST	3	16	217
VIERTER GEIST	2	14	74
LIESE	51	515	2633
WIRT	2	22	131
EREMIT	12	91	487
MÄDCHEN	5	59	351
MANN	4	68	425
ALTER	6	66	381
MALER	8	83	451
DAME	3	69	385
GEIST	24	506	2972
SOKRATES	8	34	211
CATO	3	15	109
SOLON	2	30	208
ERSTER HÖFLING	23	165	930
ZWEITER HÖFLING	23	186	1027
DRITTER HÖFLING	23	185	1009
VIERTER HÖFLING	23	198	1111
FÜNFTER HÖFLING	22	185	1009
FÜRST	17	111	607
KÄMMERER	1	25	143
OBRISTER	1	4	25
JÄGERMEISTER	1	13	74
KANZLER	1	3	19
HELENA	1	3	15
FAUSTS MUTTER	40	310	1629
REISENDER	13	90	522
GÜRGEL	2	7	40
