wer	acts	words	chars
DER HAUSKNECHT	2	13	75
OCTAVIAN	151	1911	9483
MARSCHALLIN	142	2448	12719
DER BARON	211	4364	23486
DIE LAKAIEN	1	4	23
HAUSHOFMEISTER DER MARSCHALLIN	4	72	440
DIE DREI ADELIGEN TÖCHTER	1	8	51
MARCHANDE DE MODES	2	20	99
DER TIERHÄNDLER	2	29	155
DIE DREI WAISEN	2	33	194
VALZACCHI	18	261	1441
DER SÄNGER	2	59	271
NOTAR	7	68	406
ANNINA	24	310	1671
ERSTER LAKAI	3	21	97
ZWEITER LAKAI	2	8	55
DRITTER LAKAI	2	6	44
VIERTER LAKAI	2	10	58
HERR VON FANINAL	41	805	4385
SOPHIE	80	1375	6947
MARIANNE LEITMETZERIN	10	252	1403
DIE DUENNA	6	89	434
DER FANINALSCHE HAUSHOFMEISTER	1	19	118
DIE LERCHENAUISCHEN	2	36	223
DIE FANINALSCHE DIENERSCHAFT	1	57	326
WIRT	15	125	739
DIE KELLNER	7	48	274
DIE KINDER	5	15	85
STIMMEN VON AUSSEN	1	4	25
KOMMISSARIUS	28	343	1792
VIELE STIMMEN	1	10	42
DIE KÖPFE	1	14	76
DIE MUSIKANTEN	1	5	29
DIE KUTSCHER	1	14	57
