wer	acts	words	chars
BERCENNIS	13	322	1841
HORST	45	860	4743
SIEGMAR	102	3004	16476
EINE ENTFERNTE STIMME	1	9	60
ZWEI BARDEN	18	772	4452
BRENNO	160	3798	21101
EIN DRUIDE	3	47	233
EIN BARDE	29	867	4932
WERDOMAR	29	698	3855
EIN CHOR	61	2652	14949
ZWEITES CHOR	53	2363	13371
DRITTES CHOR	38	1593	9129
VIERTES CHOR	5	243	1452
DER HAUPTMANN	18	601	3345
ZWEI ANDRE BARDEN	4	172	931
DER ÄLTSTE OPFERKNABE	33	1133	6321
DIE BARDEN	7	152	884
EIN ANDERER BARDE	5	133	765
SEGEST	17	285	1528
KEDMON	12	299	1753
THUSNELDA	53	1766	9935
SIEGMUND	14	355	1927
EIN OPFERKNABE	7	128	708
EIN ANDRER OPFERKNABE	5	37	217
DER DRUIDE	3	32	189
EINIGE DRUIDEN	1	4	23
DER ZWEITE DRUIDE	1	6	29
SEIN FÜHRER	1	22	122
DER GEFANGNE	6	52	283
FLAVIUS	11	179	949
EIN ANDRER HAUPTMANN	1	29	174
HERMANN	108	3888	21709
EIN KRIEGSGEFÄHRTE	1	3	12
EIN ANDRER KRIEGSGEFÄHRTE	1	3	12
DER CHERUSKER	10	379	1994
DER BRUCTERER	1	79	440
VALERIUS	16	262	1429
LICINIUS	4	23	141
EIN CHOR JUNGFRAUEN	4	149	856
DAS ANDRE CHOR DER JUNGFRAUEN	3	104	607
EINE DER JUNGFRAUEN	1	15	80
EINE ANDRE JUNGFRAU	1	16	85
ZWEI STIMMEN	1	26	125
DER MARSE	13	346	1912
