wer	acts	words	chars
PHILISTER	1	17	108
LIESCHEN	45	1979	11187
FAUST	149	5264	29452
GESANG DER GEISTER	1	227	1350
MEPHISTOPHELES	67	3497	19533
VALENTIN	132	3258	18129
UNSICHTBARE GUTE GEISTER	7	342	2673
KNABEN	8	64	327
KARLCHEN	2	16	80
FRITZCHEN	3	27	135
GUSTELCHEN	1	3	16
EINE TIEFE, FURCHTBARE BASSSTIMME	3	113	644
KAMINFEGER	1	27	146
MUTTER A	19	495	2927
MUTTER B	9	213	1269
MUTTER C	9	215	1259
HELENA	10	389	2327
EUPHORION	5	216	1256
MÄNNCHEN	2	55	324
BAUER	6	164	824
DIE GESTALT	3	100	564
DER MANN MIT STIERKOPF	1	35	201
GESANG UNSICHTBARER GEISTER	2	218	1605
STIMME	1	7	45
SCHEMEN	8	606	3681
DER GROSSE HUND	1	157	881
DER KLEINE FUCHS	1	318	1813
ERSTER MANN	1	90	466
ZWEITER MANN	1	122	698
CHORUS MYSTICUS	2	51	320
STIMME DES HERRN	7	112	583
ERZENGEL MICHAEL	1	170	1042
BÄRBELCHEN	16	342	1824
DR. MARIANUS	43	1899	11335
PATER ECSTATICUS	7	166	1106
PATER PROFUNDUS	7	180	1166
PATER SERAPHICUS	9	237	1413
CHORUS	17	236	1268
SEISMOS	1	19	112
THALES	1	14	96
NEREIDE	1	23	139
ZWEI TRITONEN	1	48	290
PINDAROS	1	15	74
WERNER	1	34	218
LYELL	1	30	149
PRIESNITZ	2	111	619
HOMUNCULUS	1	93	564
CHOR A	3	26	183
CHOR B	3	26	181
STIEFEL A	3	31	172
STIEFEL B	3	30	170
SELIGE KNABEN	2	57	375
STIEFELKNECHT	2	17	92
NULL	1	14	78
JÜNGLINGSGEISTER	1	1	15
VOLLENDETERE FRAUENGEISTER	1	3	19
GREISENGEISTER	1	3	34
BÄRBEL	24	478	2544
DENKERKE	54	2717	16390
GRÜBELWITZ	18	354	2069
BRÖSAMLE	18	406	2365
HASCHERL	10	126	743
DEUTERKE	18	370	2067
SCHARRER	10	187	1126
KARRER	14	218	1212
GESANG DER STOFFHUBER	3	295	1663
GESANG DER SINNHUBER	1	164	961
MEHRERE STIMMEN	13	79	483
MR. WEDGE	8	389	2479
STEINZÄNGER	7	367	2162
ALTER HERR	37	1608	8957
UNBEKANNTER	25	2331	13735
RUFE DER PRIESTER	1	20	132
PACKAN	1	2	6
FUCHS	1	2	6
KATZEN	1	18	123
