wer	acts	words	chars
EIN RITTER	2	27	165
CHOR DER MÄDCHEN	3	64	360
CHOR DER JÜNGLINGE	3	24	149
RUPERT	135	2051	10648
OTTOKAR	228	4375	22422
EUSTACHE	87	1864	9537
JERONIMUS	125	2191	11354
KIRCHENVOGT	20	400	2167
EIN DIENER	8	86	480
JOHANN	66	1409	7277
SYLVIUS	39	416	2200
AGNES	178	2264	11598
GERTRUDE	73	1155	6112
SYLVESTER	127	3013	15801
GÄRTNER	6	78	438
EIN KNAPPE	1	7	33
ALDÖBERN	14	269	1479
THEISTINER	19	353	1915
SANTING	40	510	2561
DER WANDERER	5	98	522
ZWEITER WANDERER	2	18	98
DIE KAMMERZOFE	8	125	681
BARNABE	51	813	4192
URSULA	17	195	1021
FINTENRING	13	224	1156
