wer	acts	words	chars
EINER III.14	6	158	862
AHASVERUS	59	1582	8843
GEVATTERIN	17	434	2284
SUPPIUS	19	418	2332
DIENEMANN	19	749	4131
MEYER	12	396	2274
WAISENHÄUSER	4	192	1084
PAMPHILIO	46	1229	6768
PFERDEPHILISTER	2	45	234
CARDENIO	243	12371	67566
BECKER	6	251	1342
EIN WAISENHÄUSER	1	15	85
EIN KÜMMELTÜRKE	3	145	778
MAGISTER	4	113	593
EIN PHILISTER	2	21	107
DORIS	62	1834	9407
OLYMPIE	146	5363	28857
STUDENTEN	2	15	94
WAGNER	6	159	896
ERSTER MUSIKANT	16	469	2497
MUSIKANTEN	3	40	234
SCHMIDT	2	75	413
LYSANDER	104	3276	17923
VIREN	111	4644	25046
DIE JUNGFRAU	12	262	1364
DIE FRAU	11	346	1794
LINDOR	6	152	780
ZUSCHAUER	1	72	409
BEDIENTE	1	6	30
MUSIKER	1	13	67
EIN ANDERER MUSIKANT	1	46	236
PRÄSES DER STUDENTEN	1	30	145
ALLE 1.18	1	20	93
VIELE 1.18	5	49	253
EINER 1.18	1	7	25
DIE KINDER	5	46	249
NATHAN	39	1849	9912
EIN KIND	2	10	62
DER ANDERE KNABE	2	30	174
EDELCHEN	15	265	1431
GAST	3	21	121
PREDIGER	23	802	4356
DIE VERSAMMLUNG	1	49	270
EINE ALTE FRAU	3	66	372
HALLOREN	3	320	1725
EIN HALLOR	7	330	1774
ZWEITER HALLOR	3	287	1549
HEROLD	2	50	284
PRINZESSIN	16	438	2303
WEISSPRINZ	15	228	1211
MOHRENPRINZ	18	467	2433
CELINDE	95	4001	21241
HALLORENWEIBER	5	82	416
DIE DICKE MAGD	2	31	173
HALLORENWEIB	2	29	164
DER PREDIGER	1	123	701
EINER AUS DEM VOLKE	1	4	23
EIN ANDERER AUS DEM VOLKE	1	19	87
DIE MENGE	1	8	28
KÜMMERMANN	21	407	2218
STÜRMER	19	1043	5796
MARSCHAL	6	68	371
EIN DIENER	2	17	94
TYCHE	29	1060	5671
DIE GESTALT	8	164	879
ANTON	2	76	422
CLEON	5	143	746
DIE HÄSCHER	2	51	307
EIN HÄSCHER	3	59	347
EIN ANDRER HÄSCHER	6	114	630
EIN DRITTER HÄSCHER	3	58	338
NATHANAEL	3	38	201
CHOR DER STUDENTEN	6	67	347
EINER II.10	1	13	80
VIELE III.1	1	16	88
VIELE III.14	1	10	56
