wer	acts	words	chars
DER BRUDER	28	1172	6431
DIE DAME DES HAUSES	39	774	4313
DER STAATSANWALT	32	1024	6206
EIN ANDERER HERR	2	48	296
DER GRAF	27	359	1968
DER MILLIONÄRSSOHN	3	22	119
DER DICHTER	19	280	1555
EIN BRIDGESPIELER	1	5	30
DER PARTNER DES STAATSANWALTES	4	91	492
DIE EINE DAME	3	12	63
DER KOMPONIST	8	45	222
DIE ANDERE DAME	2	18	80
DER PRINZ	155	6806	37090
DIE SÄNGERIN	69	1719	9078
EIN KRITISCHER ZUHÖRER	2	40	192
EIN JUNGES MÄDCHEN	1	19	95
SEIN BRIDGEPARTNER	1	22	124
DER EINE VOTANT	4	51	275
DER ZWEITE	4	42	227
DER OBMANN	6	106	540
DER GESCHWORENE	2	19	107
EIN JUNGER RECHTSANWALT	5	93	492
DER ANDERE	2	28	146
EIN GESCHWORENER	4	47	256
EIN PSYCHIATER	1	14	84
DER ÄLTERE RECHTSANWALT	2	25	160
EIN JUSTIZBEAMTER	3	26	135
DER ANGESPROCHENE	2	30	166
DER SADIST	1	11	52
IRGENDEIN HERR	1	15	89
DER PSYCHIATER	2	6	37
DER PRÄSIDENT	4	84	450
DER DELINQUENT	3	11	60
DIE GEHILFEN	1	8	38
VERWORRENE STIMMEN	1	12	50
DER GEISTLICHE	1	4	18
CHORUS DAMNATORUM	3	332	1846
DER VERTEIDIGER	11	345	1910
DER GEFÄNGNISDIREKTOR	6	208	1162
DER BEHÄBIGE HERR	9	256	1371
DER ALTE AUFSEHER	9	152	752
