wer	acts	words	chars
CHORUS MYSTICUS	1	24	157
ARIEL	2	202	1132
CHOR (ANMUTIGE GEGEND)	1	171	951
FAUST	127	6077	34304
KAISER	59	2327	12933
JUNKER	1	22	135
ZWEITER JUNKER	1	44	231
MEPHISTOPHELES	241	10960	61881
MENGE	10	446	2106
KANZLER	4	457	2629
HEERMEISTER	3	160	875
SCHATZMEISTER	5	287	1630
MARSCHALL	6	334	1852
ASTROLOG	11	605	3329
HEROLD	21	1580	8673
GÄRTNERINNEN	2	117	680
OLIVENZWEIG MIT FRÜCHTEN	1	42	245
ÄHRENKRANZ	1	21	114
PHANTASIEKRANZ	1	21	120
PHANTASIESTRAUSS	1	47	246
ROSENKNOSPEN	1	74	422
GÄRTNER	1	98	591
MUTTER	1	95	562
HOLZHAUER	1	63	305
PULCINELLE	1	77	403
PARASITEN	1	89	487
TRUNKNER	1	153	840
CHOR (WEITLÄUFIGER SAAL)	1	20	119
SATIRIKER	1	20	105
AGLAIA	1	10	53
HEGEMONE	1	9	62
EUPHROSYNE	1	11	59
ATROPOS	1	70	378
KLOTHO	1	80	465
LACHESIS	1	68	348
ALEKTO	1	103	521
MEGÄRA	1	97	513
TISIPHONE	1	71	379
FURCHT	1	82	482
HOFFNUNG	1	87	525
KLUGHEIT	1	165	942
KNABE WAGENLENKER	11	494	2648
PLUTUS	10	489	2715
WEIBERGEKLATSCH	1	35	202
DER ABGEMAGERTE	1	126	683
HAUPTWEIB	1	24	129
WEIBER IN MASSE	1	32	176
GEIZ	1	118	627
FAUNEN	1	47	277
SATYR	1	66	358
GNOMEN	2	225	1236
RIESEN	1	46	263
PAGE	3	26	134
EIN ANDRER	3	27	136
KÄMMERER	7	76	445
BANNERHERR	1	8	48
NARR	9	73	384
BLONDINE	1	32	182
BRAUNE	3	46	271
DAME	14	152	821
ARCHITEKT	1	44	242
ZWEITE DAME	3	24	125
DRITTE DAME	1	7	43
VIERTE DAME	1	8	42
FÜNFTE DAME	1	10	45
SECHSTE DAME	1	8	42
RITTER	4	46	253
ANDRER	1	19	86
JUNGE DAME	2	23	129
ÄLTERE DAME	2	21	105
ÄLTESTE DAME	1	17	100
DIPLOMAT	1	17	83
HOFMANN	5	41	217
POET	1	7	39
DUENNA	1	8	39
GELAHRTER	1	61	333
CHOR DER INSEKTEN	1	45	254
FAMULUS	5	240	1407
BACCALAUREUS	10	577	3205
WAGNER	9	439	2391
HOMUNCULUS	27	938	5199
ERICHTHO	1	270	1666
AMEISEN	2	81	474
ARIMASPEN	1	16	103
ERSTER GREIF	7	128	756
ZWEITER GREIF	5	64	358
SIRENEN	19	679	3947
SPHINXE	16	613	3513
PENEIOS	1	33	243
NYMPHEN	3	215	1117
CHIRON	20	680	3831
MANTO	6	75	446
SEISMOS	2	167	937
PYGMÄEN	1	82	468
DAKTYLE	2	95	574
GENERALISSIMUS	1	33	182
IMSEN	1	19	122
DIE KRANICHE DES IBYKUS	1	73	460
LAMIEN	8	199	1164
EMPUSE	3	59	323
OREAS	1	54	328
ANAXAGORAS	6	274	1646
THALES	25	807	4467
DRYAS	2	42	238
PHORKYADEN	7	85	464
EINE PHORKYADEN	8	112	618
NEREIDEN UND TRITONEN	8	232	1325
NEREUS	10	596	3439
PROTEUS	13	320	1774
CHOR (FELSENBUCHT)	1	69	433
TELCHINEN	1	110	606
PSYLLEN UND MARSEN	1	99	585
DORIDEN	3	99	570
DIE JÜNGLINGE	1	21	119
GALATEE	1	11	63
ECHO	1	7	46
HELENA	52	2326	13196
PANTHALIS	3	168	960
CHORFÜHRERIN	7	325	1928
CHOR (3. AKT)	41	2722	15890
CHORETIDE 1	1	8	47
CHORETIDE 2	1	7	48
CHORETIDE 3	1	9	46
CHORETIDE 4	1	5	33
CHORETIDE 5	1	8	43
CHORETIDE 6	1	7	44
TURMWÄCHTER LYNKEUS	3	563	3051
EUPHORION	17	458	2423
MÄDCHEN	1	61	323
ALLE	1	35	199
RAUFEBOLD	6	258	1389
HABEBALD	15	414	2270
HALTEFEST	6	233	1276
OBERGENERAL	10	324	1878
ERSTER KUNDSCHAFTER	1	38	235
ZWEITER KUNDSCHAFTER	1	35	219
HEROLDE	1	41	225
EILEBEUTE	8	129	646
TRABANTEN	0	0	0
ERSTER TRABANT	3	45	273
ZWEITER TRABANT	3	45	268
DRITTER TRABANT	3	48	274
VIERTER TRABANT	3	102	547
ERZMARSCHALL	1	59	302
ERZKÄMMERER	1	73	423
ERZTRUCHSESS	1	53	319
ERZSCHENK	1	88	508
ERZBISCHOF	7	484	2675
ERZKANZLER	2	71	403
DER GEISTLICHE	1	24	147
WANDRER	2	170	934
BAUCIS	5	129	716
PHILEMON	5	247	1310
LYNKEUS DER TÜRMER	3	324	1744
CHOR (5. AKT)	2	13	73
CHORUS	2	41	192
MANGEL	3	16	94
SCHULD	3	17	86
NOT	3	66	332
SORGE	9	266	1472
LEMUREN	4	120	595
LEMUR	6	145	726
HIMMLISCHE HEERSCHAR	1	22	155
ENGEL	6	166	910
CHOR UND ECHO	1	41	247
PATER ECSTATICUS	1	38	268
PATER PROFUNDUS	1	144	810
PATER SERAPHICUS	3	142	814
SELIGE KNABEN	5	175	939
DIE JÜNGEREN ENGEL	2	110	644
DIE VOLLENDETEREN ENGEL	1	40	239
DOCTOR MARIANUS	2	201	1174
CHOR DER BÜSSERINNEN	1	15	88
MAGNA PECCATRIX	2	82	472
MULIER SAMARITANA	2	87	472
MARIA AEGYPTIACA	2	82	454
UNA POENITENTIUM	2	81	458
MATER GLORIOSA	1	15	68
