wer	acts	words	chars
EIN ORDONNANZOFFIZIER	2	29	188
DANTON	111	1799	10495
TALLEYRAND	76	952	5733
HENRIOT	36	489	3022
THEROIGNE	32	309	1778
BARRAS	143	1750	10604
COLLOT	60	934	5554
HOCHE	30	291	1721
BIRON	14	281	1680
MARIE	19	260	1583
ST. JUST	65	1069	6275
FRAU ROLAND	24	282	1686
CONDORCET	24	263	1664
MARAT	23	565	3525
STIMMEN	7	39	258
EIN SANSKULOTT	10	102	615
GROSSES GESCHREI	4	19	119
ANDRE STIMME	6	17	109
STIMME (1.2)	4	18	114
MADAME TALLIEN	32	259	1590
THEOS	13	192	1107
LENCHEN	12	289	1716
BONAPARTE	128	2060	12421
CARNOT	58	634	3836
DIE DANTE	6	38	232
DER BETRUNKENE	4	58	376
REDAKTEUR	20	219	1347
JOSEFINE	74	816	4753
MENON	26	246	1557
JUNOT	22	168	1041
DUROC	18	112	691
MURAT	26	242	1527
TALMA	14	258	1476
DIE GÄSTE	4	20	129
RUFE	3	9	48
STIMMEN (2.5)	18	76	487
EINE STIMME	7	48	271
EINE ANDERE STIMME	5	22	135
EINE DRITTE	3	17	83
EINE LAUTE STIMME	2	6	34
