wer	acts	words	chars
DER ZUSCHAUER	6	53	319
KÖNIG NICOLO	4	215	1153
PRINZESSIN ALMA	85	2663	14780
ERSTER BEDIENTER	4	54	258
ZWEITER BEDIENTER	3	25	123
PIETRO FOLCHI	210	9473	53764
DIE BÜRGER	7	58	300
ANDREA VALORI	5	277	1632
EINIGE BÜRGER	2	19	109
FILIPO FOLCHI	20	215	1232
BENEDETTO NARDI	2	73	420
DER SÖLDNER	2	102	569
DER GUTSBESITZER	5	190	1047
EIN LANDSTREICHER	2	19	90
MEISTER PANDOLFO	8	424	2343
MICHELE	7	233	1257
NOÈ	6	127	697
BATTISTA	4	71	393
DIE GESELLEN	2	27	125
DER OBERRICHTER	16	595	3789
DER PROKURATOR DES KÖNIGS	2	294	2080
DER GERICHTSAKTUAR	9	246	1545
DER VERTEIDIGER	2	413	2779
DER GEFÄNGNISWÄRTER	10	323	1865
DER KUNSTREITER	6	369	2134
CHORUS	3	111	662
EIN THEATERBESITZER	20	649	3903
DER SCHAUSPIELER	3	47	253
DIE ZUSCHAUER	5	45	275
DIE KUPPLERIN	3	260	1429
DIE ZUHÖRER	1	2	13
EIN ANDERER THEATERBESITZER	4	86	506
EIN EDELKNABE	1	77	475
