wer	acts	words	chars
GERICHTSDIENER	1	3	14
DIETHER	133	1234	6024
KÄTHE	204	2670	13726
WAGNER	84	1803	9575
FAUST	348	6674	34205
CHORALARTIGER GESANG	3	33	218
DER FREMDE	108	1348	6927
DUMPFE STIMME	6	108	581
STIMME 5.7	2	13	70
STUDENTENCHOR	1	22	138
STUDENTEN	2	24	150
ERSTER STUDENT	17	308	1637
ZWEITER STUDENT	10	44	220
DRITTER STUDENT	9	43	212
HELENE	53	525	2728
ERSTER LEICHENTRÄGER	16	105	549
ZWEITER LEICHENTRÄGER	6	33	171
DIE LEICHENTRÄGER	2	4	15
ANFÜHRER	15	84	476
ERSTE MASKE	9	44	265
ZWEITE MASKE	6	33	185
DRITTE MASKE	5	18	106
