wer	acts	words	chars
DIE BERGLEUTE	1	80	410
DER FISCHER	11	177	833
DES FISCHERS FRAU	12	309	1526
FRAU JENSEN	17	170	867
ILSEBILL	24	309	1511
DAS EINE MÄDCHEN	6	26	112
ZWEITES MÄDCHEN	5	25	113
DER ALTE FISCHER	6	90	486
PETER	9	358	1825
PORTUGIESER	7	37	181
KATHRINE	5	40	212
ELIS	197	6285	32480
KLAUS	2	11	55
REGINE	6	47	217
TORBERN	33	949	4948
KÖNIGIN	30	842	4423
DES FISCHERS SOHN	6	118	581
DAHLSJÖ	61	1420	7187
CHRISTIAN	7	341	1769
ANNA	172	5171	25823
GROSSMUTTER	21	764	3870
KIND	40	210	1099
HANDWERKSBURSCH	14	138	697
ERSTE MAGD	4	49	248
ZWEITE MAGD	2	15	84
KNECHT	1	8	43
DIE GÄSTE	2	16	77
