wer	acts	words	chars
DIE HOFFNUNG	1	35	224
SPECK	29	777	4214
CHOR	24	146	731
FRAU STEIGERL	39	714	3874
HERR STEIGERL	29	509	2790
SCHMALZ	3	99	538
JEAN	17	286	1575
MALCHEN	33	818	4425
LOTTCHEN	66	1723	9374
FRITZ	164	5467	29324
MARIE	10	196	1098
CHOR DER SCHULDNER	5	110	530
ÖBSTLERIN	3	20	95
SCHNEIDER	5	51	268
SCHUSTER	4	55	287
KUTSCHER	1	27	149
MAGIER	37	902	5190
CHOR DER VIER DIENER	1	24	148
SATIRE	37	1018	5828
LASTER	19	272	1524
DIE BEGIERDE	1	4	32
DIE AMORETTEN	1	8	47
KAPRICE	9	103	569
DIE MODE	5	83	464
LUXUS	8	132	702
DAS KOMPLIMENT	5	124	764
ARMUT	10	106	578
KOKETTERIE	12	219	1217
SCHANDE	1	4	15
CHOR AUS ›ORPHEUS‹	1	25	150
