wer	acts	words	chars
EIN BÄCKERWEIB	1	48	281
MOLLY	67	1734	9397
VON KEITH	357	8565	49621
HERMANN CASIMIR	48	687	3606
ANNA	185	2587	14610
SASCHA	18	149	802
SCHOLZ	140	4657	27194
SARANIEFF	35	726	4151
RASPE	26	489	2856
KONSUL CASIMIR	26	834	4815
OSTERMEIER	26	471	2758
KRENZL	5	68	379
GRANDAUER	3	43	238
SOMMERSBERG	13	201	1160
SIMBA	32	614	3262
FRAU OSTERMEIER	1	16	87
FRAU KRENZL	1	17	101
FREIFRAU VON ROSENKRON	6	71	421
FREIFRAU VON TOTLEBEN	2	16	92
ZAMRJAKI	5	55	350
ERNST SCHOLZ	1	24	144
EIN METZGERKNECHT	3	93	480
EIN PACKTRÄGER	1	20	121
