wer	acts	words	chars
DER BEDIENTE	1	35	180
FRAU VON WICHMANN	45	1446	7945
JULIE	66	4103	21281
HERR VON WOHLAU	69	2566	13559
DER CAPITAIN	30	2026	10882
PETER	38	718	3717
WERNECK	14	508	2794
BELMONT	39	1595	8324
DALTON	34	1275	6568
WOLDEMAR	36	1526	8104
