wer	acts	words	chars
EIN ARZT	3	27	144
KATZMANN	73	2546	15772
STENOTYPISTIN	6	29	156
EIN POLIZEIKOMMISSAR	4	58	364
KOMMISSAR	16	245	1543
THAYER	69	1534	9514
SACCO	156	3523	20174
ROSA	48	1393	8174
VANZETTI	145	4840	28087
FRAU JOHNSON	2	11	60
SIMON JOHNSON	7	180	1097
LEVANGIE	11	81	400
THOMPSON	49	2822	17751
MOORE	5	125	810
MCANARNEY	10	388	2280
JULIA CAMPBELL	7	238	1285
LOLA ANDREWS	6	72	368
SIBLEY	4	79	501
BEFFEL	4	101	671
EIN JOURNALIST	7	72	450
FRAU BERNKOPF	4	60	356
EIN ARBEITER (5)	1	8	36
EIN POLIZIST	1	2	7
VORSITZENDER	1	729	4755
MUSMANNO	24	929	5889
STRÄFLING	1	18	101
MADEIROS	20	522	2941
EIN ARBEITER (9)	2	30	147
EIN ANDERER ARBEITER (9)	1	8	48
EIN DRITTER ARBEITER	1	6	38
EINE FRAU	4	56	296
SEKRETÄR	5	115	780
FULLER	56	2463	15274
EIN LAKAI	2	30	189
LUIGIA	13	181	1036
EIN ARBEITER (12)	1	5	40
EIN ITALIENISCHER ARBEITER	5	50	325
AMERIKANISCHER ARBEITER	1	67	455
ARBEITER	2	16	93
AUFSEHER	5	68	366
DIREKTOR	2	11	69
VIELE	25	386	2586
FRAU	1	11	62
EINE STIMME	2	24	157
EIN RICHTER	1	6	39
EIN BEAMTER	1	6	32
HENDRY	5	139	874
GEISTLICHER	5	63	340
SHERIFF	3	18	117
