wer	acts	words	chars
GRABBE	1	8	59
SCHULMEISTER	112	4272	25366
TOBIES	15	332	1868
GOTTLIEBCHEN	9	63	334
TEUFEL	104	3651	21095
ERSTER NATURHISTORIKER	16	447	2653
ZWEITER NATURHISTORIKER	10	265	1610
DRITTER NATURHISTORIKER	11	129	765
VIERTER NATURHISTORIKER	10	224	1283
RATTENGIFT	60	1936	11091
LIDDY	64	1027	5953
WERNTHAL	30	366	2102
BARON	51	916	5407
EIN DIENER	2	39	231
EIN BEDIENTE	6	62	393
DER SCHMIED	20	279	1566
FREIHERR	18	329	1832
MOLLFELS	49	1923	11434
GRETCHEN	4	78	474
DIE SPIESSGESELLEN	1	1	3
DER HAUSWIRT	1	6	31
DES TEUFELS GROSSMUTTER	4	76	439
DER RÖMISCHE KAISER NERO	3	18	96
