wer	acts	words	chars
STIMME DES HENKERS	1	7	35
GRAVES	74	1430	8076
BERKLEY	123	2076	12145
HAMMOND	40	1031	6057
COKE	58	1305	7832
RICHMOND	39	525	2963
KARL	151	5372	31650
MONTAGUE	76	1226	7158
LINDSAY	30	543	3046
JOYCE	73	1208	6876
CROMWELL	263	10601	61146
PRYNNE	32	706	4139
SIDNEY	76	1347	8091
IRETON	93	2008	11762
LILBURN	44	1050	6043
FAIRFAX	51	729	4203
LUDLOW	65	1114	6589
HARRISON	95	2514	14414
MANCHESTER	67	966	5802
BRADSHAW	27	324	1893
MEHRERE	1	3	13
DIE PRESBYTERIANER	6	26	135
GESCHREI DRAUßEN	3	18	134
MILTON	9	449	2630
DIE SOLDATEN	1	3	42
