wer	acts	words	chars
SENNER UND SENNERINNEN	4	30	177
FRITZ	14	219	1137
JOHANN	18	303	1728
PRALLING	14	98	559
WOLF	74	1504	8289
GRÜNDLING	8	267	1527
SOCKEL	24	447	2552
VALENTIN	167	4807	25713
ROSA	125	2030	10751
HELM	17	123	715
WALTER	14	82	492
DUMONT	43	619	3595
FLOTTWELL	194	4837	26572
EIN GAST	8	29	180
CHERISTANE	21	1164	6409
AZUR	3	87	476
CHOR	8	164	875
DER BETTLER	31	849	4648
HAUSHOFMEISTER	5	86	449
DIENER 2.3	2	12	62
DIENER 3.3	1	28	149
WEIB	15	304	1533
JUWELIER	17	142	739
KLUGHEIM	25	364	2007
AMALIE	20	169	903
BARON FLITTERSTEIN	12	81	428
DIE GÄSTE	13	69	386
KELLERMEISTER	1	13	71
ARZT	1	7	35
BETTI	3	27	139
BEDIENTE	1	43	210
THOMAS	8	130	659
MAX	7	63	327
GÄRTNER	14	355	1880
LIESE	34	360	1920
MICHAEL	8	50	265
HIESEL	15	88	481
PEPI	8	47	250
HANSEL	23	196	1054
