wer	acts	words	chars
CARL	3	21	95
ZERNICKOW	46	564	3115
ANNA	13	66	343
MARIE	24	310	1646
NATALIE	40	573	3191
EMMA	116	2307	12783
MEHLMEYER	69	1405	7687
DIE WÄSCHERIN	1	19	91
WEIGELT	316	6055	32876
STRESOW	3	23	140
LIPSKY	3	30	170
HEMPEL	18	162	893
MINNA	105	1421	7757
WILHELM	25	194	1027
LEOPOLD	102	1532	8541
CLARA	145	1467	8027
RUDOLF	148	3071	16467
ERSTER LIEFERANT	2	15	73
ZWEITER LIEFERANT	2	27	142
KRÜMEL	19	189	1045
SCHWALBACH	37	641	3758
MIELISCH	26	476	3015
ERSTER KELLNER	6	34	192
ZWEITER KELLNER	7	63	358
SCHMIDT	10	60	350
GOTTLIEB	23	182	961
