wer	acts	words	chars
STIMMEN	1	4	17
ODOWALSKY	22	437	2294
PONIATOWSKY	46	661	3323
GREGORY	61	943	4923
MASCHINKA	21	759	3908
DEMETRIUS	220	4906	25510
MARINA	72	1808	9618
MNICZEK	159	3428	17834
LEGAT	20	749	4059
STIMMEN (Vorspiel)	1	2	19
BASMANOW	26	495	2529
MSTISLAWSKI	25	339	1825
SCHUISKOI	71	1809	9579
BORIS	32	1533	8187
HIOB	26	715	3779
ÄBTISSIN	42	869	4598
MARFA	78	1783	9162
LAIENSCHWESTER	2	6	39
OTREPIEP	114	2072	10664
ADJUTANT	2	10	75
BÜRGERMEISTER	3	82	446
RURIK	50	738	3750
OSSIP	65	600	3001
PETROWITSCH	14	230	1185
BARBARA	58	704	3465
SOLDAT	2	10	48
KÜSTER	13	317	1665
VOLK	2	8	44
